Date,Time,NO2(GT),PT08.S4(NO2),Temperature (C),Relative Humidity,Absolute Humidity,Datetime
2004-03-16,02:00:00,61.0,1386.0,14.8,59.2,0.9879,2004-03-16 02:00:00
2004-03-16,03:00:00,80.11538461538461,1364.0,13.6,62.1,0.9636,2004-03-16 03:00:00
2004-03-16,04:00:00,59.0,1373.0,12.3,66.2,0.945,2004-03-16 04:00:00
2004-03-16,05:00:00,52.0,1348.0,12.8,63.2,0.9283,2004-03-16 05:00:00
2004-03-16,06:00:00,64.0,1418.0,11.2,68.5,0.9081,2004-03-16 06:00:00
2004-03-16,07:00:00,70.0,1467.0,11.0,66.5,0.8705,2004-03-16 07:00:00
2004-03-16,08:00:00,97.0,1889.0,11.7,63.7,0.8719,2004-03-16 08:00:00
2004-03-16,09:00:00,95.0,2055.0,13.6,56.3,0.8743,2004-03-16 09:00:00
2004-03-16,10:00:00,150.0,2211.0,17.8,42.9,0.8672,2004-03-16 10:00:00
2004-03-16,11:00:00,162.0,1973.0,21.4,33.3,0.8417,2004-03-16 11:00:00
2004-03-16,12:00:00,154.0,1868.0,24.4,27.4,0.8231,2004-03-16 12:00:00
2004-03-16,13:00:00,161.0,1998.0,25.3,26.1,0.8264,2004-03-16 13:00:00
2004-03-16,14:00:00,161.0,1897.0,25.8,23.2,0.7589,2004-03-16 14:00:00
2004-03-16,15:00:00,128.0,1675.0,27.0,20.2,0.7094,2004-03-16 15:00:00
2004-03-16,16:00:00,129.0,1759.0,28.2,18.6,0.7014,2004-03-16 16:00:00
2004-03-16,17:00:00,133.0,1739.0,28.0,19.1,0.7098,2004-03-16 17:00:00
2004-03-16,18:00:00,139.0,1778.0,23.9,25.7,0.7519,2004-03-16 18:00:00
2004-03-16,19:00:00,137.0,1875.0,21.3,34.8,0.873,2004-03-16 19:00:00
2004-03-16,20:00:00,143.0,1776.0,20.4,36.7,0.8704,2004-03-16 20:00:00
2004-03-16,21:00:00,177.0,2106.0,19.0,41.3,0.9007,2004-03-16 21:00:00
2004-03-16,22:00:00,138.0,1710.0,17.9,45.9,0.9342,2004-03-16 22:00:00
2004-03-16,23:00:00,117.0,1560.0,16.7,48.9,0.9226,2004-03-16 23:00:00
2004-03-17,00:00:00,107.0,1547.0,15.5,52.9,0.9271,2004-03-17 00:00:00
2004-03-17,01:00:00,90.0,1442.0,15.5,51.9,0.9059,2004-03-17 01:00:00
2004-03-17,02:00:00,79.0,1383.0,14.1,55.6,0.891,2004-03-17 02:00:00
2004-03-17,03:00:00,80.11538461538461,1332.0,13.1,57.9,0.8666,2004-03-17 03:00:00
2004-03-17,04:00:00,60.0,1303.0,12.7,57.9,0.8447,2004-03-17 04:00:00
2004-03-17,05:00:00,40.0,1268.0,11.8,58.0,0.8026,2004-03-17 05:00:00
2004-03-17,06:00:00,53.0,1289.0,11.9,57.4,0.7978,2004-03-17 06:00:00
2004-03-17,07:00:00,84.0,1556.0,9.9,65.2,0.7956,2004-03-17 07:00:00
2004-03-17,08:00:00,108.0,1999.0,11.1,60.2,0.7958,2004-03-17 08:00:00
2004-03-17,09:00:00,127.0,2535.0,14.1,50.0,0.802,2004-03-17 09:00:00
2004-03-17,10:00:00,134.0,2026.0,17.7,40.1,0.8048,2004-03-17 10:00:00
2004-03-17,11:00:00,135.0,1782.0,21.1,33.4,0.8265,2004-03-17 11:00:00
2004-03-17,12:00:00,142.0,1654.0,24.3,28.3,0.8471,2004-03-17 12:00:00
2004-03-17,13:00:00,153.0,1747.0,25.6,25.6,0.8254,2004-03-17 13:00:00
2004-03-17,14:00:00,123.0,1712.0,25.9,25.9,0.8503,2004-03-17 14:00:00
2004-03-17,15:00:00,104.0,1520.0,26.8,18.7,0.65,2004-03-17 15:00:00
2004-03-17,16:00:00,129.0,1679.0,29.3,15.8,0.6309,2004-03-17 16:00:00
2004-03-17,17:00:00,114.0,1525.0,28.5,14.9,0.5708,2004-03-17 17:00:00
2004-03-17,18:00:00,158.0,1981.0,25.9,16.0,0.5237,2004-03-17 18:00:00
2004-03-17,19:00:00,194.0,2414.0,23.1,26.5,0.7403,2004-03-17 19:00:00
2004-03-17,20:00:00,182.0,2416.0,20.5,38.2,0.9133,2004-03-17 20:00:00
2004-03-17,21:00:00,180.0,2174.0,19.1,42.6,0.9294,2004-03-17 21:00:00
2004-03-17,22:00:00,136.0,1727.0,17.2,44.1,0.8558,2004-03-17 22:00:00
2004-03-17,23:00:00,127.0,1778.0,16.0,50.9,0.9206,2004-03-17 23:00:00
2004-03-18,00:00:00,116.0,1669.0,14.8,53.9,0.9024,2004-03-18 00:00:00
2004-03-18,01:00:00,107.0,1502.0,14.3,55.4,0.8975,2004-03-18 01:00:00
2004-03-18,02:00:00,88.0,1407.0,14.8,52.1,0.8686,2004-03-18 02:00:00
2004-03-18,03:00:00,80.11538461538461,1351.0,13.9,53.9,0.8501,2004-03-18 03:00:00
2004-03-18,04:00:00,78.0,1334.0,11.6,61.9,0.8442,2004-03-18 04:00:00
2004-03-18,05:00:00,57.0,1307.0,12.0,58.9,0.8233,2004-03-18 05:00:00
2004-03-18,06:00:00,71.0,1333.0,10.9,62.1,0.8113,2004-03-18 06:00:00
2004-03-18,07:00:00,85.0,1551.0,10.6,63.3,0.8067,2004-03-18 07:00:00
2004-03-18,08:00:00,124.0,2094.0,11.5,60.0,0.8117,2004-03-18 08:00:00
2004-03-18,09:00:00,151.0,2468.0,14.3,50.6,0.8186,2004-03-18 09:00:00
2004-03-18,10:00:00,150.0,2010.0,17.8,40.5,0.821,2004-03-18 10:00:00
2004-03-18,11:00:00,152.0,1752.0,20.8,34.4,0.8365,2004-03-18 11:00:00
2004-03-18,12:00:00,139.0,1663.0,23.8,28.2,0.8219,2004-03-18 12:00:00
2004-03-18,13:00:00,133.0,1648.0,24.2,28.7,0.8515,2004-03-18 13:00:00
2004-03-18,14:00:00,126.0,1660.0,25.2,24.9,0.7829,2004-03-18 14:00:00
2004-03-18,15:00:00,128.0,1639.0,27.0,17.8,0.6275,2004-03-18 15:00:00
2004-03-18,16:00:00,169.0,1767.0,27.1,23.1,0.818,2004-03-18 16:00:00
2004-03-18,17:00:00,149.0,1689.0,25.8,23.9,0.7832,2004-03-18 17:00:00
2004-03-18,18:00:00,156.0,1957.0,23.0,26.8,0.7446,2004-03-18 18:00:00
2004-03-18,19:00:00,168.0,2118.0,20.7,31.1,0.7523,2004-03-18 19:00:00
2004-03-18,20:00:00,176.0,2051.0,18.6,36.2,0.7676,2004-03-18 20:00:00
2004-03-18,21:00:00,135.0,1732.0,16.0,48.4,0.8768,2004-03-18 21:00:00
2004-03-18,22:00:00,121.0,1621.0,14.5,57.8,0.9456,2004-03-18 22:00:00
2004-03-18,23:00:00,99.0,1545.0,13.1,64.2,0.9606,2004-03-18 23:00:00
2004-03-19,00:00:00,106.0,1606.0,12.0,69.7,0.9735,2004-03-19 00:00:00
2004-03-19,01:00:00,96.0,1501.0,11.9,71.1,0.9915,2004-03-19 01:00:00
2004-03-19,02:00:00,63.0,1380.0,12.5,69.3,1.0029,2004-03-19 02:00:00
2004-03-19,03:00:00,80.11538461538461,1301.0,12.5,67.5,0.9768,2004-03-19 03:00:00
2004-03-19,04:00:00,32.0,1280.0,12.3,67.7,0.9665,2004-03-19 04:00:00
2004-03-19,05:00:00,28.0,1260.0,12.5,66.8,0.962,2004-03-19 05:00:00
2004-03-19,06:00:00,61.0,1324.0,12.3,66.3,0.9487,2004-03-19 06:00:00
2004-03-19,07:00:00,99.0,1539.0,12.4,64.9,0.9332,2004-03-19 07:00:00
2004-03-19,08:00:00,157.0,2144.0,13.0,61.6,0.9209,2004-03-19 08:00:00
2004-03-19,09:00:00,166.0,2456.0,13.6,58.8,0.912,2004-03-19 09:00:00
2004-03-19,10:00:00,149.0,1980.0,13.9,57.1,0.9032,2004-03-19 10:00:00
2004-03-19,11:00:00,135.0,1879.0,14.5,54.4,0.8917,2004-03-19 11:00:00
2004-03-19,12:00:00,127.0,1751.0,15.5,50.1,0.8744,2004-03-19 12:00:00
2004-03-19,13:00:00,122.0,1801.0,16.1,47.6,0.8655,2004-03-19 13:00:00
2004-03-19,14:00:00,135.0,1875.0,16.3,47.1,0.864,2004-03-19 14:00:00
2004-03-19,15:00:00,139.0,1957.0,16.4,47.5,0.8791,2004-03-19 15:00:00
2004-03-19,16:00:00,147.0,1955.0,16.1,50.2,0.9094,2004-03-19 16:00:00
2004-03-19,17:00:00,158.0,2005.0,16.0,50.7,0.9142,2004-03-19 17:00:00
2004-03-19,18:00:00,146.0,1952.0,15.8,50.3,0.8989,2004-03-19 18:00:00
2004-03-19,19:00:00,144.0,1997.0,15.5,50.6,0.884,2004-03-19 19:00:00
2004-03-19,20:00:00,138.0,1942.0,15.4,51.4,0.8956,2004-03-19 20:00:00
2004-03-19,21:00:00,143.0,1854.0,15.2,53.1,0.9117,2004-03-19 21:00:00
2004-03-19,22:00:00,116.0,1604.0,14.7,57.6,0.9573,2004-03-19 22:00:00
2004-03-19,23:00:00,109.0,1547.0,14.2,58.3,0.938,2004-03-19 23:00:00
2004-03-20,00:00:00,92.0,1447.0,13.8,57.9,0.9085,2004-03-20 00:00:00
2004-03-20,01:00:00,83.0,1429.0,13.9,55.9,0.8842,2004-03-20 01:00:00
2004-03-20,02:00:00,81.0,1382.0,13.9,55.6,0.8765,2004-03-20 02:00:00
2004-03-20,03:00:00,80.11538461538461,1359.0,13.8,55.1,0.8666,2004-03-20 03:00:00
2004-03-20,04:00:00,55.0,1332.0,13.8,54.6,0.8574,2004-03-20 04:00:00
2004-03-20,05:00:00,53.0,1351.0,13.6,55.1,0.856,2004-03-20 05:00:00
2004-03-20,06:00:00,67.0,1342.0,13.6,59.0,0.9129,2004-03-20 06:00:00
2004-03-20,07:00:00,91.0,1461.0,13.5,58.4,0.896,2004-03-20 07:00:00
2004-03-20,08:00:00,113.0,1623.0,13.8,58.0,0.9083,2004-03-20 08:00:00
2004-03-20,09:00:00,102.0,1689.0,14.6,53.1,0.8765,2004-03-20 09:00:00
2004-03-20,10:00:00,107.0,1764.0,15.0,52.3,0.8881,2004-03-20 10:00:00
2004-03-20,11:00:00,113.0,1768.0,15.4,52.1,0.9046,2004-03-20 11:00:00
2004-03-20,12:00:00,108.0,1757.0,16.3,50.0,0.9158,2004-03-20 12:00:00
2004-03-20,13:00:00,105.0,1735.0,17.1,47.9,0.9281,2004-03-20 13:00:00
2004-03-20,14:00:00,93.0,1636.0,19.0,42.9,0.937,2004-03-20 14:00:00
2004-03-20,15:00:00,87.0,1573.0,19.5,42.3,0.9476,2004-03-20 15:00:00
2004-03-20,16:00:00,76.0,1539.0,19.5,42.3,0.9493,2004-03-20 16:00:00
2004-03-20,17:00:00,94.0,1649.0,19.1,43.8,0.9556,2004-03-20 17:00:00
2004-03-20,18:00:00,110.0,1774.0,18.5,46.3,0.9744,2004-03-20 18:00:00
2004-03-20,19:00:00,136.0,1919.0,17.4,51.6,1.0159,2004-03-20 19:00:00
2004-03-20,20:00:00,139.0,1885.0,17.1,51.3,0.9914,2004-03-20 20:00:00
2004-03-20,21:00:00,125.0,1820.0,16.4,53.8,0.9964,2004-03-20 21:00:00
2004-03-20,22:00:00,111.0,1712.0,16.2,55.4,1.0132,2004-03-20 22:00:00
2004-03-20,23:00:00,97.0,1672.0,15.9,57.7,1.0356,2004-03-20 23:00:00
2004-03-21,00:00:00,107.0,1714.0,15.7,58.6,1.0396,2004-03-21 00:00:00
2004-03-21,01:00:00,90.0,1577.0,15.1,60.9,1.0398,2004-03-21 01:00:00
2004-03-21,02:00:00,84.0,1526.0,15.6,56.6,0.9951,2004-03-21 02:00:00
2004-03-21,03:00:00,80.11538461538461,1554.0,15.2,57.9,0.9941,2004-03-21 03:00:00
2004-03-21,04:00:00,87.0,1539.0,15.4,57.8,1.0021,2004-03-21 04:00:00
2004-03-21,05:00:00,66.0,1461.0,14.9,60.6,1.0196,2004-03-21 05:00:00
2004-03-21,06:00:00,36.0,1390.0,14.5,63.0,1.0316,2004-03-21 06:00:00
2004-03-21,07:00:00,62.0,1492.0,14.2,66.2,1.063,2004-03-21 07:00:00
2004-03-21,08:00:00,91.0,1528.0,14.5,65.3,1.0704,2004-03-21 08:00:00
2004-03-21,09:00:00,89.0,1560.0,15.3,62.1,1.073,2004-03-21 09:00:00
2004-03-21,10:00:00,93.0,1633.0,16.3,59.0,1.0868,2004-03-21 10:00:00
2004-03-21,11:00:00,81.0,1646.0,18.9,49.6,1.07,2004-03-21 11:00:00
2004-03-21,12:00:00,82.0,1617.0,19.4,46.1,1.0249,2004-03-21 12:00:00
2004-03-21,13:00:00,80.0,1568.0,20.8,41.6,1.0091,2004-03-21 13:00:00
2004-03-21,14:00:00,48.0,1507.0,21.4,40.3,1.0126,2004-03-21 14:00:00
2004-03-21,15:00:00,61.0,1669.0,21.2,39.3,0.9791,2004-03-21 15:00:00
2004-03-21,16:00:00,89.0,1506.0,20.3,38.0,0.8942,2004-03-21 16:00:00
2004-03-21,17:00:00,105.0,1607.0,19.4,41.3,0.9206,2004-03-21 17:00:00
2004-03-21,18:00:00,116.0,1874.0,18.5,43.8,0.9252,2004-03-21 18:00:00
2004-03-21,19:00:00,119.0,1744.0,17.8,48.1,0.9689,2004-03-21 19:00:00
2004-03-21,20:00:00,144.0,1840.0,17.9,46.9,0.952,2004-03-21 20:00:00
2004-03-21,21:00:00,123.0,1673.0,17.4,49.1,0.9688,2004-03-21 21:00:00
2004-03-21,22:00:00,105.0,1594.0,17.0,51.7,0.9914,2004-03-21 22:00:00
2004-03-21,23:00:00,93.0,1624.0,16.4,55.1,1.0198,2004-03-21 23:00:00
2004-03-22,00:00:00,86.0,1582.0,16.1,60.0,1.0919,2004-03-22 00:00:00
2004-03-22,01:00:00,76.0,1547.0,15.8,60.5,1.0805,2004-03-22 01:00:00
2004-03-22,02:00:00,33.0,1355.0,16.3,57.0,1.0491,2004-03-22 02:00:00
2004-03-22,03:00:00,80.11538461538461,1274.0,16.9,53.9,1.0309,2004-03-22 03:00:00
2004-03-22,04:00:00,27.0,1304.0,16.1,55.9,1.0153,2004-03-22 04:00:00
2004-03-22,05:00:00,23.0,1278.0,16.5,53.9,1.0049,2004-03-22 05:00:00
2004-03-22,06:00:00,46.0,1373.0,16.4,54.0,0.9979,2004-03-22 06:00:00
2004-03-22,07:00:00,76.0,1538.0,15.7,57.6,1.0195,2004-03-22 07:00:00
2004-03-22,08:00:00,116.0,1996.0,15.8,53.7,0.9571,2004-03-22 08:00:00
2004-03-22,09:00:00,115.0,1962.0,17.4,42.1,0.8281,2004-03-22 09:00:00
2004-03-22,10:00:00,83.0,1484.0,17.9,38.4,0.7793,2004-03-22 10:00:00
2004-03-22,11:00:00,87.0,1509.0,18.5,36.7,0.7764,2004-03-22 11:00:00
2004-03-22,12:00:00,90.0,1577.0,21.0,29.6,0.7263,2004-03-22 12:00:00
2004-03-22,13:00:00,87.0,1599.0,21.3,28.1,0.7067,2004-03-22 13:00:00
2004-03-22,14:00:00,99.0,1607.0,21.3,26.1,0.6539,2004-03-22 14:00:00
2004-03-22,15:00:00,99.0,1574.0,21.3,26.8,0.6681,2004-03-22 15:00:00
2004-03-22,16:00:00,101.0,1544.0,21.3,24.2,0.606,2004-03-22 16:00:00
2004-03-22,17:00:00,103.0,1606.0,20.2,28.5,0.6682,2004-03-22 17:00:00
2004-03-22,18:00:00,129.0,1932.0,17.0,43.1,0.8264,2004-03-22 18:00:00
