Datetime,PT08.S1(CO),PT08.S2(NMHC),T,RH,AH,hour,dayofweek,month
2004-03-12 16:00:00,1309.0,1073.0,15.9,37.2,0.6657,16,4,3
2004-03-12 17:00:00,1274.0,1041.0,16.9,34.3,0.6549,17,4,3
2004-03-12 18:00:00,1510.0,1277.0,15.1,39.6,0.6766,18,4,3
2004-03-12 19:00:00,1525.0,1246.0,14.4,43.4,0.7084,19,4,3
2004-03-12 20:00:00,1843.0,1610.0,12.9,50.5,0.7478,20,4,3
2004-03-12 21:00:00,1598.0,1299.0,12.1,53.3,0.7536,21,4,3
2004-03-12 22:00:00,1484.0,1127.0,11.0,59.1,0.774,22,4,3
2004-03-12 23:00:00,1677.0,1346.0,9.7,64.6,0.7771,23,4,3
2004-03-13 00:00:00,1280.0,964.0,9.5,64.1,0.7597,0,5,3
2004-03-13 01:00:00,1196.0,873.0,9.1,63.9,0.7423,1,5,3
2004-03-13 02:00:00,1184.0,782.0,8.8,63.9,0.7256,2,5,3
2004-03-13 03:00:00,1172.0,783.0,7.8,67.5,0.7173,3,5,3
2004-03-13 04:00:00,1147.0,821.0,7.0,71.1,0.7158,4,5,3
2004-03-13 05:00:00,978.0,625.0,8.3,63.6,0.6982,5,5,3
2004-03-13 06:00:00,1100.0,646.0,7.2,67.5,0.6887,6,5,3
2004-03-13 07:00:00,1112.0,770.0,6.3,71.9,0.6932,7,5,3
2004-03-13 08:00:00,1336.0,1043.0,6.5,71.6,0.6945,8,5,3
2004-03-13 09:00:00,1408.0,1153.0,9.6,59.7,0.7124,9,5,3
2004-03-13 10:00:00,1447.0,1081.0,12.4,51.2,0.7335,10,5,3
2004-03-13 11:00:00,1542.0,1184.0,15.6,42.2,0.7451,11,5,3
2004-03-13 12:00:00,1451.0,1117.0,18.4,33.8,0.709,12,5,3
2004-03-13 13:00:00,1328.0,1059.0,19.4,31.3,0.695,13,5,3
2004-03-13 14:00:00,1207.0,924.0,18.0,34.8,0.7127,14,5,3
2004-03-13 15:00:00,1240.0,947.0,18.4,33.6,0.7042,15,5,3
2004-03-13 16:00:00,1306.0,987.0,17.6,35.1,0.7012,16,5,3
2004-03-13 17:00:00,1326.0,1000.0,16.7,37.8,0.7117,17,5,3
2004-03-13 18:00:00,1473.0,1163.0,16.1,41.0,0.7451,18,5,3
2004-03-13 19:00:00,1609.0,1286.0,15.8,42.4,0.7569,19,5,3
2004-03-13 20:00:00,1611.0,1274.0,15.7,44.1,0.7786,20,5,3
2004-03-13 21:00:00,1621.0,1247.0,15.3,46.8,0.8091,21,5,3
2004-03-13 22:00:00,1444.0,1089.0,14.6,48.6,0.806,22,5,3
2004-03-13 23:00:00,1418.0,1010.0,14.7,49.3,0.8193,23,5,3
2004-03-14 00:00:00,1534.0,1013.0,13.9,53.6,0.8498,0,6,3
2004-03-14 01:00:00,1484.0,1045.0,14.6,51.5,0.8536,1,6,3
2004-03-14 02:00:00,1367.0,925.0,12.5,58.9,0.8537,2,6,3
2004-03-14 03:00:00,1344.0,968.0,11.6,63.4,0.8674,3,6,3
2004-03-14 04:00:00,1130.0,773.0,12.1,61.1,0.8603,4,6,3
2004-03-14 05:00:00,1062.0,691.0,11.5,63.1,0.8533,5,6,3
2004-03-14 06:00:00,1076.0,618.0,11.6,62.2,0.8473,6,6,3
2004-03-14 07:00:00,1028.0,615.0,10.4,67.6,0.853,7,6,3
2004-03-14 08:00:00,1155.0,722.0,11.6,62.7,0.853,8,6,3
2004-03-14 09:00:00,1235.0,828.0,12.4,60.0,0.8627,9,6,3
2004-03-14 10:00:00,1332.0,923.0,14.5,53.1,0.8728,10,6,3
2004-03-14 11:00:00,1445.0,1009.0,16.9,46.1,0.8789,11,6,3
2004-03-14 12:00:00,1416.0,1002.0,19.3,38.3,0.8474,12,6,3
2004-03-14 13:00:00,1281.0,880.0,21.2,31.4,0.7812,13,6,3
2004-03-14 14:00:00,1207.0,879.0,21.4,30.2,0.7616,14,6,3
2004-03-14 15:00:00,1258.0,906.0,21.9,29.0,0.7525,15,6,3
2004-03-14 16:00:00,1458.0,1045.0,22.2,28.4,0.7516,16,6,3
2004-03-14 17:00:00,1438.0,1051.0,21.3,30.8,0.7696,17,6,3
2004-03-14 18:00:00,1478.0,1055.0,19.7,36.7,0.8307,18,6,3
2004-03-14 19:00:00,1808.0,1312.0,18.4,41.7,0.8732,19,6,3
2004-03-14 20:00:00,1898.0,1381.0,17.6,46.1,0.921,20,6,3
2004-03-14 21:00:00,1560.0,1140.0,16.7,49.6,0.932,21,6,3
2004-03-14 22:00:00,1324.0,940.0,16.3,51.0,0.9341,22,6,3
2004-03-14 23:00:00,1349.0,933.0,14.7,55.9,0.9314,23,6,3
2004-03-15 00:00:00,1239.0,872.0,14.8,54.7,0.9164,0,0,3
2004-03-15 01:00:00,1239.0,853.0,14.0,57.0,0.9094,1,0,3
2004-03-15 02:00:00,1224.0,855.0,13.4,61.3,0.9361,2,0,3
2004-03-15 03:00:00,1078.0,734.0,12.6,63.5,0.923,3,0,3
2004-03-15 04:00:00,1078.0,711.0,12.3,65.4,0.9351,4,0,3
2004-03-15 05:00:00,1075.0,703.0,11.9,67.4,0.9375,5,0,3
2004-03-15 06:00:00,1157.0,830.0,11.4,70.5,0.9475,6,0,3
2004-03-15 07:00:00,1314.0,966.0,11.3,70.2,0.9401,7,0,3
2004-03-15 08:00:00,1797.0,1451.0,12.4,63.9,0.917,8,0,3
2004-03-15 09:00:00,1961.0,1701.0,14.8,54.3,0.9076,9,0,3
2004-03-15 10:00:00,1771.0,1470.0,17.4,45.6,0.8993,10,0,3
2004-03-15 11:00:00,1564.0,1300.0,19.8,38.5,0.8801,11,0,3
2004-03-15 12:00:00,1430.0,1120.0,22.0,34.1,0.8904,12,0,3
2004-03-15 13:00:00,1417.0,1146.0,23.3,32.2,0.9096,13,0,3
2004-03-15 14:00:00,1400.0,1162.0,23.9,30.0,0.8757,14,0,3
2004-03-15 15:00:00,1317.0,1053.0,24.4,28.9,0.8736,15,0,3
2004-03-15 16:00:00,1318.0,1033.0,24.4,29.4,0.8848,16,0,3
2004-03-15 17:00:00,1445.0,1141.0,23.8,31.3,0.9137,17,0,3
2004-03-15 18:00:00,1917.0,1601.0,22.5,35.4,0.9547,18,0,3
2004-03-15 19:00:00,2040.0,1754.0,20.4,42.5,1.0086,19,0,3
2004-03-15 20:00:00,1895.0,1573.0,18.3,52.6,1.0945,20,0,3
2004-03-15 21:00:00,1595.0,1294.0,16.7,57.4,1.0786,21,0,3
2004-03-15 22:00:00,1439.0,1159.0,15.7,60.2,1.0654,22,0,3
2004-03-15 23:00:00,1142.0,852.0,15.3,61.4,1.058,23,0,3
2004-03-16 00:00:00,1304.0,1019.0,14.1,65.7,1.0494,0,1,3
2004-03-16 01:00:00,1074.0,784.0,14.8,60.6,1.0148,1,1,3
2004-03-16 02:00:00,968.0,640.0,14.8,59.2,0.9879,2,1,3
2004-03-16 03:00:00,929.0,608.0,13.6,62.1,0.9636,3,1,3
2004-03-16 04:00:00,941.0,626.0,12.3,66.2,0.945,4,1,3
2004-03-16 05:00:00,937.0,585.0,12.8,63.2,0.9283,5,1,3
2004-03-16 06:00:00,1017.0,681.0,11.2,68.5,0.9081,6,1,3
2004-03-16 07:00:00,1171.0,770.0,11.0,66.5,0.8705,7,1,3
2004-03-16 08:00:00,1541.0,1185.0,11.7,63.7,0.8719,8,1,3
2004-03-16 09:00:00,1539.0,1287.0,13.6,56.3,0.8743,9,1,3
2004-03-16 10:00:00,1735.0,1431.0,17.8,42.9,0.8672,10,1,3
2004-03-16 11:00:00,1571.0,1297.0,21.4,33.3,0.8417,11,1,3
2004-03-16 12:00:00,1452.0,1250.0,24.4,27.4,0.8231,12,1,3
2004-03-16 13:00:00,1579.0,1359.0,25.3,26.1,0.8264,13,1,3
2004-03-16 14:00:00,1466.0,1309.0,25.8,23.2,0.7589,14,1,3
2004-03-16 15:00:00,1280.0,1136.0,27.0,20.2,0.7094,15,1,3
2004-03-16 16:00:00,1407.0,1197.0,28.2,18.6,0.7014,16,1,3
2004-03-16 17:00:00,1389.0,1173.0,28.0,19.1,0.7098,17,1,3
2004-03-16 18:00:00,1447.0,1235.0,23.9,25.7,0.7519,18,1,3
2004-03-16 19:00:00,1551.0,1271.0,21.3,34.8,0.873,19,1,3
2004-03-16 20:00:00,1474.0,1173.0,20.4,36.7,0.8704,20,1,3
2004-03-16 21:00:00,1800.0,1426.0,19.0,41.3,0.9007,21,1,3
2004-03-16 22:00:00,1379.0,1101.0,17.9,45.9,0.9342,22,1,3
2004-03-16 23:00:00,1201.0,943.0,16.7,48.9,0.9226,23,1,3
2004-03-17 00:00:00,1205.0,925.0,15.5,52.9,0.9271,0,2,3
2004-03-17 01:00:00,1072.0,784.0,15.5,51.9,0.9059,1,2,3
2004-03-17 02:00:00,998.0,714.0,14.1,55.6,0.891,2,2,3
2004-03-17 03:00:00,933.0,625.0,13.1,57.9,0.8666,3,2,3
2004-03-17 04:00:00,883.0,577.0,12.7,57.9,0.8447,4,2,3
2004-03-17 05:00:00,869.0,554.0,11.8,58.0,0.8026,5,2,3
2004-03-17 06:00:00,891.0,576.0,11.9,57.4,0.7978,6,2,3
2004-03-17 07:00:00,1173.0,878.0,9.9,65.2,0.7956,7,2,3
2004-03-17 08:00:00,1587.0,1334.0,11.1,60.2,0.7958,8,2,3
2004-03-17 09:00:00,1852.0,1696.0,14.1,50.0,0.802,9,2,3
2004-03-17 10:00:00,1522.0,1331.0,17.7,40.1,0.8048,10,2,3
2004-03-17 11:00:00,1438.0,1161.0,21.1,33.4,0.8265,11,2,3
2004-03-17 12:00:00,1393.0,1067.0,24.3,28.3,0.8471,12,2,3
2004-03-17 13:00:00,1452.0,1152.0,25.6,25.6,0.8254,13,2,3
2004-03-17 14:00:00,1389.0,1108.0,25.9,25.9,0.8503,14,2,3
2004-03-17 15:00:00,1207.0,994.0,26.8,18.7,0.65,15,2,3
2004-03-17 16:00:00,1365.0,1154.0,29.3,15.8,0.6309,16,2,3
2004-03-17 17:00:00,1247.0,1060.0,28.5,14.9,0.5708,17,2,3
2004-03-17 18:00:00,1557.0,1478.0,25.9,16.0,0.5237,18,2,3
2004-03-17 19:00:00,1973.0,1737.0,23.1,26.5,0.7403,19,2,3
2004-03-17 20:00:00,1975.0,1667.0,20.5,38.2,0.9133,20,2,3
2004-03-17 21:00:00,1795.0,1485.0,19.1,42.6,0.9294,21,2,3
2004-03-17 22:00:00,1444.0,1150.0,17.2,44.1,0.8558,22,2,3
2004-03-17 23:00:00,1488.0,1171.0,16.0,50.9,0.9206,23,2,3
2004-03-18 00:00:00,1371.0,1083.0,14.8,53.9,0.9024,0,3,3
2004-03-18 01:00:00,1161.0,904.0,14.3,55.4,0.8975,1,3,3
2004-03-18 02:00:00,1064.0,787.0,14.8,52.1,0.8686,2,3,3
2004-03-18 03:00:00,970.0,687.0,13.9,53.9,0.8501,3,3,3
2004-03-18 04:00:00,954.0,645.0,11.6,61.9,0.8442,4,3,3
2004-03-18 05:00:00,931.0,623.0,12.0,58.9,0.8233,5,3,3
2004-03-18 06:00:00,938.0,650.0,10.9,62.1,0.8113,6,3,3
2004-03-18 07:00:00,1166.0,885.0,10.6,63.3,0.8067,7,3,3
2004-03-18 08:00:00,1643.0,1384.0,11.5,60.0,0.8117,8,3,3
2004-03-18 09:00:00,1934.0,1682.0,14.3,50.6,0.8186,9,3,3
2004-03-18 10:00:00,1617.0,1333.0,17.8,40.5,0.821,10,3,3
2004-03-18 11:00:00,1473.0,1127.0,20.8,34.4,0.8365,11,3,3
2004-03-18 12:00:00,1379.0,1068.0,23.8,28.2,0.8219,12,3,3
2004-03-18 13:00:00,1385.0,1056.0,24.2,28.7,0.8515,13,3,3
2004-03-18 14:00:00,1379.0,1087.0,25.2,24.9,0.7829,14,3,3
2004-03-18 15:00:00,1322.0,1129.0,27.0,17.8,0.6275,15,3,3
2004-03-18 16:00:00,1496.0,1205.0,27.1,23.1,0.818,16,3,3
2004-03-18 17:00:00,1409.0,1131.0,25.8,23.9,0.7832,17,3,3
2004-03-18 18:00:00,1513.0,1338.0,23.0,26.8,0.7446,18,3,3
2004-03-18 19:00:00,1667.0,1464.0,20.7,31.1,0.7523,19,3,3
2004-03-18 20:00:00,1667.0,1453.0,18.6,36.2,0.7676,20,3,3
2004-03-18 21:00:00,1430.0,1121.0,16.0,48.4,0.8768,21,3,3
2004-03-18 22:00:00,1333.0,989.0,14.5,57.8,0.9456,22,3,3
2004-03-18 23:00:00,1262.0,911.0,13.1,64.2,0.9606,23,3,3
2004-03-19 00:00:00,1287.0,936.0,12.0,69.7,0.9735,0,4,3
2004-03-19 01:00:00,1134.0,840.0,11.9,71.1,0.9915,1,4,3
2004-03-19 02:00:00,999.0,688.0,12.5,69.3,1.0029,2,4,3
2004-03-19 03:00:00,961.0,622.0,12.5,67.5,0.9768,3,4,3
2004-03-19 04:00:00,934.0,569.0,12.3,67.7,0.9665,4,4,3
2004-03-19 05:00:00,913.0,525.0,12.5,66.8,0.962,5,4,3
2004-03-19 06:00:00,969.0,607.0,12.3,66.3,0.9487,6,4,3
2004-03-19 07:00:00,1182.0,845.0,12.4,64.9,0.9332,7,4,3
2004-03-19 08:00:00,1740.0,1372.0,13.0,61.6,0.9209,8,4,3
2004-03-19 09:00:00,1819.0,1582.0,13.6,58.8,0.912,9,4,3
2004-03-19 10:00:00,1427.0,1275.0,13.9,57.1,0.9032,10,4,3
2004-03-19 11:00:00,1390.0,1191.0,14.5,54.4,0.8917,11,4,3
2004-03-19 12:00:00,1283.0,1117.0,15.5,50.1,0.8744,12,4,3
2004-03-19 13:00:00,1304.0,1157.0,16.1,47.6,0.8655,13,4,3
2004-03-19 14:00:00,1364.0,1202.0,16.3,47.1,0.864,14,4,3
2004-03-19 15:00:00,1410.0,1268.0,16.4,47.5,0.8791,15,4,3
2004-03-19 16:00:00,1476.0,1280.0,16.1,50.2,0.9094,16,4,3
2004-03-19 17:00:00,1522.0,1320.0,16.0,50.7,0.9142,17,4,3
2004-03-19 18:00:00,1442.0,1301.0,15.8,50.3,0.8989,18,4,3
2004-03-19 19:00:00,1469.0,1344.0,15.5,50.6,0.884,19,4,3
2004-03-19 20:00:00,1467.0,1292.0,15.4,51.4,0.8956,20,4,3
2004-03-19 21:00:00,1421.0,1202.0,15.2,53.1,0.9117,21,4,3
2004-03-19 22:00:00,1175.0,945.0,14.7,57.6,0.9573,22,4,3
2004-03-19 23:00:00,1215.0,912.0,14.2,58.3,0.938,23,4,3
2004-03-20 00:00:00,1127.0,802.0,13.8,57.9,0.9085,0,5,3
2004-03-20 01:00:00,1090.0,773.0,13.9,55.9,0.8842,1,5,3
2004-03-20 02:00:00,1017.0,718.0,13.9,55.6,0.8765,2,5,3
2004-03-20 03:00:00,997.0,677.0,13.8,55.1,0.8666,3,5,3
2004-03-20 04:00:00,945.0,646.0,13.8,54.6,0.8574,4,5,3
2004-03-20 05:00:00,956.0,661.0,13.6,55.1,0.856,5,5,3
2004-03-20 06:00:00,966.0,622.0,13.6,59.0,0.9129,6,5,3
2004-03-20 07:00:00,1064.0,728.0,13.5,58.4,0.896,7,5,3
2004-03-20 08:00:00,1300.0,935.0,13.8,58.0,0.9083,8,5,3
2004-03-20 09:00:00,1348.0,998.0,14.6,53.1,0.8765,9,5,3
2004-03-20 10:00:00,1425.0,1068.0,15.0,52.3,0.8881,10,5,3
2004-03-20 11:00:00,1474.0,1061.0,15.4,52.1,0.9046,11,5,3
2004-03-20 12:00:00,1490.0,1039.0,16.3,50.0,0.9158,12,5,3
2004-03-20 13:00:00,1495.0,1040.0,17.1,47.9,0.9281,13,5,3
2004-03-20 14:00:00,1376.0,953.0,19.0,42.9,0.937,14,5,3
2004-03-20 15:00:00,1305.0,884.0,19.5,42.3,0.9476,15,5,3
2004-03-20 16:00:00,1283.0,844.0,19.5,42.3,0.9493,16,5,3
2004-03-20 17:00:00,1392.0,967.0,19.1,43.8,0.9556,17,5,3
2004-03-20 18:00:00,1452.0,1063.0,18.5,46.3,0.9744,18,5,3
2004-03-20 19:00:00,1633.0,1199.0,17.4,51.6,1.0159,19,5,3
2004-03-20 20:00:00,1625.0,1191.0,17.1,51.3,0.9914,20,5,3
2004-03-20 21:00:00,1535.0,1108.0,16.4,53.8,0.9964,21,5,3
2004-03-20 22:00:00,1323.0,973.0,16.2,55.4,1.0132,22,5,3
2004-03-20 23:00:00,1309.0,937.0,15.9,57.7,1.0356,23,5,3
2004-03-21 00:00:00,1456.0,999.0,15.7,58.6,1.0396,0,6,3
2004-03-21 01:00:00,1300.0,872.0,15.1,60.9,1.0398,1,6,3
2004-03-21 02:00:00,1203.0,823.0,15.6,56.6,0.9951,2,6,3
2004-03-21 03:00:00,1195.0,836.0,15.2,57.9,0.9941,3,6,3
2004-03-21 04:00:00,1117.0,802.0,15.4,57.8,1.0021,4,6,3
2004-03-21 05:00:00,1062.0,711.0,14.9,60.6,1.0196,5,6,3
2004-03-21 06:00:00,947.0,594.0,14.5,63.0,1.0316,6,6,3
2004-03-21 07:00:00,1065.0,687.0,14.2,66.2,1.063,7,6,3
2004-03-21 08:00:00,1155.0,734.0,14.5,65.3,1.0704,8,6,3
2004-03-21 09:00:00,1220.0,782.0,15.3,62.1,1.073,9,6,3
2004-03-21 10:00:00,1301.0,862.0,16.3,59.0,1.0868,10,6,3
2004-03-21 11:00:00,1279.0,870.0,18.9,49.6,1.07,11,6,3
2004-03-21 12:00:00,1267.0,883.0,19.4,46.1,1.0249,12,6,3
2004-03-21 13:00:00,1239.0,848.0,20.8,41.6,1.0091,13,6,3
2004-03-21 14:00:00,1128.0,742.0,21.4,40.3,1.0126,14,6,3
2004-03-21 15:00:00,1243.0,916.0,21.2,39.3,0.9791,15,6,3
2004-03-21 16:00:00,1208.0,853.0,20.3,38.0,0.8942,16,6,3
2004-03-21 17:00:00,1306.0,938.0,19.4,41.3,0.9206,17,6,3
2004-03-21 18:00:00,1546.0,1151.0,18.5,43.8,0.9252,18,6,3
2004-03-21 19:00:00,1501.0,1071.0,17.8,48.1,0.9689,19,6,3
2004-03-21 20:00:00,1605.0,1153.0,17.9,46.9,0.952,20,6,3
2004-03-21 21:00:00,1316.0,974.0,17.4,49.1,0.9688,21,6,3
2004-03-21 22:00:00,1195.0,898.0,17.0,51.7,0.9914,22,6,3
2004-03-21 23:00:00,1211.0,896.0,16.4,55.1,1.0198,23,6,3
2004-03-22 00:00:00,1161.0,815.0,16.1,60.0,1.0919,0,0,3
2004-03-22 01:00:00,1095.0,767.0,15.8,60.5,1.0805,1,0,3
2004-03-22 02:00:00,897.0,563.0,16.3,57.0,1.0491,2,0,3
2004-03-22 03:00:00,842.0,468.0,16.9,53.9,1.0309,3,0,3
2004-03-22 04:00:00,854.0,481.0,16.1,55.9,1.0153,4,0,3
2004-03-22 05:00:00,845.0,472.0,16.5,53.9,1.0049,5,0,3
2004-03-22 06:00:00,942.0,586.0,16.4,54.0,0.9979,6,0,3
2004-03-22 07:00:00,1090.0,768.0,15.7,57.6,1.0195,7,0,3
2004-03-22 08:00:00,1514.0,1230.0,15.8,53.7,0.9571,8,0,3
2004-03-22 09:00:00,1379.0,1252.0,17.4,42.1,0.8281,9,0,3
2004-03-22 10:00:00,1074.0,854.0,17.9,38.4,0.7793,10,0,3
2004-03-22 11:00:00,1090.0,868.0,18.5,36.7,0.7764,11,0,3
2004-03-22 12:00:00,1110.0,964.0,21.0,29.6,0.7263,12,0,3
2004-03-22 13:00:00,1102.0,994.0,21.3,28.1,0.7067,13,0,3
2004-03-22 14:00:00,1100.0,1021.0,21.3,26.1,0.6539,14,0,3
2004-03-22 15:00:00,1094.0,1003.0,21.3,26.8,0.6681,15,0,3
2004-03-22 16:00:00,1076.0,1034.0,21.3,24.2,0.606,16,0,3
2004-03-22 17:00:00,1152.0,1062.0,20.2,28.5,0.6682,17,0,3
2004-03-22 18:00:00,1407.0,1249.0,17.0,43.1,0.8264,18,0,3
2004-03-22 19:00:00,1438.0,1325.0,15.6,47.4,0.8347,19,0,3
2004-03-22 20:00:00,1425.0,1325.0,15.3,47.4,0.8178,20,0,3
2004-03-22 21:00:00,1279.0,1131.0,14.5,49.7,0.8177,21,0,3
2004-03-22 22:00:00,1132.0,916.0,13.9,52.0,0.8231,22,0,3
2004-03-22 23:00:00,1006.0,729.0,14.5,49.4,0.8106,23,0,3
2004-03-23 00:00:00,982.0,700.0,13.8,51.4,0.8071,0,1,3
2004-03-23 01:00:00,969.0,636.0,14.0,51.3,0.8163,1,1,3
2004-03-23 02:00:00,941.0,621.0,13.0,56.8,0.8444,2,1,3
2004-03-23 03:00:00,892.0,522.0,11.0,70.0,0.9215,3,1,3
2004-03-23 04:00:00,855.0,478.0,10.1,76.8,0.9483,4,1,3
2004-03-23 05:00:00,834.0,459.0,8.8,80.5,0.9147,5,1,3
2004-03-23 06:00:00,909.0,567.0,9.6,75.4,0.9004,6,1,3
2004-03-23 07:00:00,1061.0,745.0,9.8,75.0,0.9093,7,1,3
2004-03-23 08:00:00,1441.0,1124.0,10.0,74.2,0.9117,8,1,3
2004-03-23 09:00:00,1498.0,1325.0,11.2,69.7,0.9232,9,1,3
2004-03-23 10:00:00,1343.0,1185.0,12.0,62.9,0.8803,10,1,3
2004-03-23 11:00:00,1308.0,1166.0,12.8,55.8,0.821,11,1,3
2004-03-23 12:00:00,1209.0,1097.0,13.1,54.8,0.8234,12,1,3
2004-03-23 13:00:00,1310.0,1207.0,13.8,53.4,0.8351,13,1,3
2004-03-23 14:00:00,1171.0,1064.0,16.0,42.4,0.7674,14,1,3
2004-03-23 15:00:00,1112.0,980.0,14.1,49.8,0.7971,15,1,3
2004-03-23 16:00:00,1132.0,927.0,12.0,61.1,0.8537,16,1,3
2004-03-23 17:00:00,1225.0,1111.0,13.6,54.6,0.8465,17,1,3
2004-03-23 18:00:00,1065.0,953.0,13.7,49.5,0.7695,18,1,3
2004-03-23 19:00:00,1236.0,1084.0,11.7,57.1,0.7822,19,1,3
2004-03-23 20:00:00,1309.0,1126.0,11.5,58.2,0.7867,20,1,3
2004-03-23 21:00:00,1089.0,884.0,12.6,54.2,0.7881,21,1,3
2004-03-23 22:00:00,1000.0,776.0,12.0,54.9,0.7664,22,1,3
2004-03-23 23:00:00,1041.0,782.0,11.0,61.4,0.8057,23,1,3
2004-03-24 00:00:00,1045.0,756.0,11.1,62.2,0.8199,0,2,3
2004-03-24 01:00:00,997.0,744.0,10.8,62.5,0.8082,1,2,3
2004-03-24 02:00:00,948.0,634.0,11.3,60.0,0.8025,2,2,3
2004-03-24 03:00:00,878.0,551.0,10.6,61.6,0.7856,3,2,3
2004-03-24 04:00:00,908.0,559.0,10.2,62.7,0.7813,4,2,3
2004-03-24 05:00:00,892.0,522.0,10.9,58.6,0.7628,5,2,3
2004-03-24 06:00:00,954.0,561.0,10.8,57.2,0.7382,6,2,3
2004-03-24 07:00:00,1045.0,751.0,10.4,59.2,0.7455,7,2,3
2004-03-24 08:00:00,1383.0,1109.0,11.0,57.3,0.7501,8,2,3
2004-03-24 09:00:00,1597.0,1395.0,11.2,56.9,0.7565,9,2,3
2004-03-24 10:00:00,1318.0,1124.0,12.1,54.9,0.7734,10,2,3
2004-03-24 11:00:00,1138.0,898.0,15.1,44.3,0.7535,11,2,3
2004-03-24 12:00:00,1098.0,842.0,15.6,40.6,0.7146,12,2,3
2004-03-24 13:00:00,1118.0,927.0,16.9,34.6,0.6597,13,2,3
2004-03-24 14:00:00,1170.0,1009.0,16.6,35.6,0.6697,14,2,3
2004-03-24 15:00:00,1112.0,842.0,11.3,63.9,0.8554,15,2,3
2004-03-24 16:00:00,1390.0,1028.0,9.6,81.1,0.972,16,2,3
2004-03-24 17:00:00,1353.0,1096.0,11.7,69.1,0.9497,17,2,3
2004-03-24 18:00:00,1260.0,1050.0,10.7,68.5,0.8794,18,2,3
