,NMHC(GT)
429,104.0
430,116.0
431,93.0
432,93.0
433,155.0
434,115.0
435,75.0
436,65.0
437,57.0
438,40.0
439,27.0
440,23.0
441,28.0
442,21.0
443,33.0
444,40.0
445,279.0
446,743.0
447,147.0
448,97.0
449,118.0
450,91.0
451,146.0
452,139.0
453,155.0
454,128.0
455,166.0
456,299.0
457,163.0
458,154.0
459,80.0
460,58.0
461,55.0
462,33.0
463,33.0
464,32.0
465,25.0
466,29.0
467,26.0
468,86.0
469,294.0
470,664.0
471,695.0
472,735.0
473,649.0
474,586.0
475,546.0
476,245.0
477,178.0
478,130.0
479,151.0
480,272.0
481,301.0
482,237.0
483,95.0
484,68.0
485,101.0
486,81.0
487,50.0
488,66.0
489,22.0
490,18.0
491,31.0
492,57.0
493,342.0
494,644.0
495,216.0
496,117.0
497,156.0
498,332.0
499,232.0
500,295.0
501,386.0
502,278.0
503,263.0
504,322.0
505,226.0
506,221.0
507,109.0
508,105.0
509,84.0
510,106.0
511,100.0
512,71.0
513,72.0
514,44.0
515,45.0
516,134.0
517,505.0
518,1042.0
519,737.0
520,375.0
521,124.0
522,137.0
523,179.0
524,222.0
525,197.0
526,319.0
527,388.0
528,589.0
529,840.0
530,655.0
531,254.0
532,188.0
533,120.0
534,157.0
535,88.0
536,68.0
537,57.0
538,36.0
539,51.0
540,93.0
541,284.0
542,486.0
543,798.0
544,524.0
545,468.0
546,454.0
547,461.0
548,391.0
549,337.0
550,297.0
551,588.0
552,721.0
553,710.0
554,787.0
555,415.0
556,245.0
557,294.0
558,139.0
559,98.0
560,88.0
561,66.0
562,57.0
563,57.0
564,60.0
565,200.0
566,451.0
567,422.0
568,227.41510119047624
569,230.95863492063495
570,235.27414947089943
571,197.80532539682537
572,185.57304960317455
573,209.85275992063504
574,230.6065595238095
575,236.73439748677237
576,294.3423082010583
577,346.8006985329485
578,239.21230886243384
579,168.80776851851846
580,226.89251406926408
581,151.5425734126984
582,133.9679186507937
583,114.6343525132275
584,78.80249007936507
585,116.99613690476193
586,59.11750793650796
587,55.51370833333337
588,69.11531283068776
589,60.16719642857145
590,65.78501124338622
591,147.2403994708995
592,174.8998551587301
593,147.00239021164015
594,178.64186640211628
595,146.62817394179902
596,128.53361243386252
597,202.6489087301588
598,195.3251382275132
599,207.8031587301588
600,205.79837103174603
601,224.014468915344
602,180.1023392857143
603,88.04169179894183
604,149.15095436507957
605,133.29869775132278
606,72.5182023809524
607,48.720596200096224
608,48.00619708994713
609,34.869578703703716
610,35.16471164021164
611,56.97347420634924
612,126.62533994709004
613,212.0603611111112
614,325.97351653439165
615,292.15336441798945
616,424.0
617,339.0
618,445.0
619,535.0
620,278.0
621,256.0
622,245.0
623,458.0
624,710.0
625,678.0
626,436.0
627,178.0
628,160.0
629,177.0
630,101.0
631,66.0
632,40.0
633,54.0
634,39.0
635,62.0
636,120.0
637,599.0
638,1084.0
639,776.0
640,470.0
641,169.0
642,304.0
643,405.0
644,297.0
645,220.0
646,226.0
647,456.0
648,470.0
649,503.0
650,459.0
651,227.0
652,152.0
653,94.0
654,93.0
655,49.0
656,30.0
657,30.0
658,30.0
659,32.0
660,59.0
661,277.0
662,454.0
663,211.0
664,196.0
665,110.0
666,164.0
667,151.0
668,112.0
669,117.0
670,120.0
671,251.0
672,435.0
673,345.0
674,343.0
675,62.0
676,70.0
677,114.0
678,88.0
679,95.0
680,83.0
681,63.0
682,38.0
683,68.0
684,59.0
685,226.0
686,802.0
687,585.0
688,324.0
689,308.0
690,238.0
691,301.0
692,294.0
693,353.0
694,209.0
695,538.0
696,808.0
697,974.0
698,544.0
699,138.0
700,92.0
701,137.0
702,189.0
703,159.0
704,80.0
705,66.0
706,87.0
707,79.0
708,150.0
709,196.0
710,299.0
711,254.0
712,226.0
713,262.0
714,505.0
715,512.0
716,159.0
717,337.0
718,357.0
719,194.0
720,278.0
721,303.0
722,234.0
723,128.0
724,160.0
725,169.0
726,77.0
727,98.0
728,102.0
729,65.0
730,69.0
731,89.0
732,134.0
733,157.0
734,167.0
735,157.0
736,172.0
737,114.0
738,166.0
739,94.0
740,108.0
741,98.0
742,132.0
743,144.0
744,165.0
745,210.0
746,277.0
747,168.0
748,248.0
749,235.0
750,84.0
751,75.0
752,62.0
753,66.0
754,49.0
755,38.0
756,44.0
757,60.0
758,88.0
759,70.0
760,94.0
761,126.0
762,181.0
763,66.0
764,54.0
765,48.0
766,66.0
767,65.0
768,68.0
769,118.0
770,65.0
771,63.0
772,61.0
773,63.0
774,31.0
775,29.0
776,34.0
777,34.0
778,9.0
779,14.0
780,23.0
781,36.0
782,39.0
783,38.0
784,55.0
785,75.0
786,64.0
787,39.0
788,42.0
789,78.0
790,69.0
791,67.0
792,83.0
793,79.0
794,68.0
795,56.0
796,49.0
797,56.0
798,48.0
799,27.0
800,29.0
801,32.0
802,47.0
803,66.0
804,163.0
805,524.0
806,657.0
807,324.0
808,144.0
809,135.0
810,140.0
811,141.0
812,181.0
813,227.0
814,149.0
815,425.0
816,669.0
817,680.0
818,446.0
819,205.0
820,194.0
821,115.0
822,74.0
823,85.0
824,66.0
825,60.0
826,40.0
827,47.0
828,116.0
829,478.0
830,836.0
831,655.0
832,312.0
833,195.0
834,238.0
835,196.61095983645976
836,212.5710978835978
837,212.12666402116395
838,185.1311853625677
839,192.96455291005296
840,210.03605423280425
841,224.42629761904757
842,307.9727773569023
843,208.71684686147188
844,145.1892837301587
845,127.19571891534396
846,85.36469312169311
847,57.42966865079367
848,45.34670965608468
849,37.71407395382395
850,33.5011712962963
851,44.10858267195768
852,135.7447023809523
853,296.11462367724863
854,304.5779318783068
855,536.0
856,481.0
857,460.0
858,597.0
859,465.0
860,542.0
861,437.0
862,383.0
863,778.0
864,926.0
865,1189.0
866,824.0
867,660.0
868,203.0
869,136.0
870,114.0
871,110.0
872,127.0
873,68.0
874,70.0
875,93.0
876,179.0
877,523.0
878,546.0
879,251.0
880,222.0
881,212.0
882,263.0
883,535.0
884,609.0
885,449.0
886,536.0
887,743.0
888,575.0
889,783.0
890,706.0
891,299.0
892,159.0
893,171.0
894,162.0
895,111.0
896,134.0
897,86.43261574074067
898,56.72283531746033
899,72.63898941798946
900,86.42777442002438
901,150.03324669312175
902,169.49410251322743
903,138.56612301587305
904,173.17570039682536
905,131.10976070226076
906,91.83037164224665
907,153.22412169312187
908,72.68662830687828
909,97.62732071632074
910,98.65442455229956
911,91.66471489621492
912,120.55807076719572
913,160.25750462962964
914,171.98995767195768
915,94.63302574277571
916,167.278544973545
917,178.45638690476187
918,124.92835185185191
919,116.3699332010582
920,114.79266798941796
921,83.1575244200244
922,58.7433928571429
923,44.8614510582011
924,46.009504629629674
925,47.12795105820109
926,56.99745899470899
927,69.54269907407408
928,130.8537996031746
929,136.4313115079365
930,84.43623412698413
931,60.2092175925926
932,60.36925462962965
933,140.972011904762
934,149.32268849206363
935,155.29477447089957
936,168.61098148148145
937,215.83369907407405
938,172.4880529100529
939,167.37876124338626
940,138.5987929894182
941,165.60803439153432
942,139.5662605820106
943,71.37739153439153
944,59.60940277777781
945,41.39806998556996
946,45.33421296296301
947,45.281935185185205
948,136.30804497354498
949,263.20926521164006
950,297.14609854497354
951,177.61553133903135
952,137.4497698412699
953,157.44329695767212
954,196.73150925925933
955,219.44660052910055
956,150.2991805555555
957,173.54342923280424
958,201.29443055555564
959,202.13549801587308
960,157.23143783068778
961,143.848779100529
962,124.37262632275126
963,74.10944234006732
964,82.38037566137565
965,82.76599603174604
966,70.56812962962964
967,54.73716071428576
968,37.72416654641651
969,30.142275793650775
970,34.5668406084656
971,52.05479629629632
972,132.32968518518507
973,293.14123280423274
974,351.19771693121675
975,297.4287976190477
976,289.52255291005275
977,298.28639947089937
978,302.8360919312169
979,270.38516005291
980,209.7529512385761
981,166.44758175620683
982,226.6720348725347
983,316.655082010582
984,342.59465939153444
985,333.79250793650783
986,309.33202513227513
987,211.9716468253968
988,167.39604298941805
989,169.3056448412698
990,75.48809626022121
991,111.3410661375662
992,57.68454936267438
993,52.39442261904765
994,41.739185846560865
995,62.596087301587296
996,159.7154226190477
997,333.8638280423281
998,379.5715562169313
999,299.6098082010582
1000,303.92433688071196
1001,198.51829100529096
1002,193.13234872534855
1003,195.92381697931685
1004,187.5585067941317
1005,182.3421231962481
1006,211.12974603174587
1007,308.74806746031726
1008,374.15817923280423
1009,389.0390760582012
1010,346.5159113756614
1011,278.5110271164021
1012,195.82013227513215
1013,170.17240740740743
1014,123.14525264550257
1015,79.82570009620004
1016,54.995243145743174
1017,42.33272156084656
1018,39.2995183982684
1019,39.99940608465611
1020,117.84249272486768
1021,215.89003703703705
1022,307.574576058201
1023,351.7205244708995
1024,313.5278578042328
1025,236.4090767195767
1026,218.17338029100532
1027,193.10400595238087
1028,206.26339550264544
1029,286.3416968494467
1030,300.5339766113515
1031,356.8279517195765
1032,367.4461679894177
1033,391.16481018518505
1034,319.5127824074073
1035,228.27186044973553
1036,169.8517351953602
1037,172.27851017501027
1038,183.08570965608467
1039,122.41941931216928
1040,56.10874206349207
1041,47.82932407407408
1042,39.13280254930255
1043,46.0
1044,56.0
1045,452.0
1046,880.0
1047,759.0
1048,394.0
1049,639.0
1050,541.0
1051,468.0
1052,483.0
1053,682.0
1054,698.0
1055,832.0
1056,872.0
1057,899.0
1058,692.0
1059,145.0
1060,208.0
1061,204.0
1062,240.0
1063,251.0
1064,173.0
1065,113.0
1066,55.0
1067,65.0
1068,119.0
1069,151.0
1070,305.0
1071,415.0
1072,321.0
1073,358.0
1074,350.0
1075,238.0
1076,215.0
1077,192.0
1078,205.0
1079,165.0
1080,283.0
1081,467.0
1082,485.0
1083,202.0
1084,64.0
1085,71.0
1086,84.0
1087,70.0
1088,61.0
1089,92.0
1090,40.0
1091,20.0
1092,31.0
1093,41.0
1094,40.0
1095,35.0
1096,44.0
1097,71.0
1098,66.0
1099,46.0
1100,50.0
1101,51.0
1102,64.0
1103,138.0
1104,137.0
1105,303.0
1106,204.0
1107,95.0
1108,347.0
1109,252.0
1110,66.0
1111,45.0
1112,36.0
1113,26.0
1114,17.0
1115,21.0
1116,60.0
1117,155.0
1118,235.0
1119,89.0
1120,76.0
1121,101.0
1122,109.0
1123,143.0
1124,104.0
1125,107.0
1126,133.0
1127,171.0
1128,405.0
1129,334.0
1130,236.0
1131,99.0
1132,93.0
1133,82.0
1134,51.0
1135,41.0
1136,31.0
1137,41.0
1138,41.0
1139,38.0
1140,111.0
1141,584.0
1142,633.0
1143,145.0
1144,155.0
1145,128.0
1146,255.0
1147,411.0
1148,173.0
1149,277.0
1150,259.0
1151,274.0
1152,377.0
1153,457.0
1154,555.0
1155,279.0
1156,137.0
1157,203.0
1158,101.0
1159,86.0
1160,51.0
1161,47.0
1162,35.0
1163,33.0
1164,95.0
1165,754.0
1166,588.0
1167,658.0
1168,372.0
1169,386.0
1170,333.0
1171,293.0
1172,511.0
1173,559.0
1174,375.0
1175,509.0
1176,790.0
1177,816.0
1178,804.0
1179,332.0
1180,156.0
1181,143.0
1182,117.0
1183,84.0
1184,60.0
1185,76.0
1186,40.0
1187,64.0
1188,148.0
1189,635.0
1190,1129.0
1191,475.0
1192,220.0
1193,105.0
1194,190.0
1195,516.0
1196,346.0
1197,565.0
1198,483.0
1199,651.0
1200,657.0
1201,830.0
1202,435.0
1203,209.0
1204,202.0
1205,174.0
1206,170.0
1207,116.0
1208,91.0
1209,71.0
1210,59.0
1211,48.0
1212,111.0
1213,345.0
1214,332.0
1215,344.0
1216,212.0
1217,166.0
1218,214.0
1219,377.0
1220,210.0
1221,265.0
1222,365.0
1223,454.0
1224,460.0
1225,642.0
1226,501.0
1227,234.0
1228,212.0
1229,275.0
1230,275.0
1231,188.31647089947097
1232,118.34800462962949
1233,110.16366335978832
1234,58.90107341269844
1235,47.09850859788363
1236,58.106998677248704
1237,115.808697089947
1238,119.2256031746031
1239,165.5116468253968
1240,196.39189484126976
1241,195.87483531746017
1242,194.68702447089933
1243,113.967849987975
1244,114.91019113756614
1245,177.78527994227989
1246,177.21735739723226
1247,171.36167882580386
1248,237.35901785714285
1249,480.1555740740744
1250,248.87839880952373
1251,175.41498478835982
1252,376.1662842712843
1253,339.3858272607021
1254,166.12249074074077
1255,136.34978042328046
1256,99.25312235449726
1257,117.76356613756602
1258,55.381174603174635
1259,47.15153968253972
1260,61.97898611111112
1261,66.71035846560852
1262,113.65610714285708
1263,122.5681276455026
1264,160.69411401098895
1265,115.52820183982688
1266,113.89455501443
1267,90.6488286528287
1268,118.26483399470902
1269,134.89339153439155
1270,117.1302678571428
1271,197.53420634920627
1272,272.4817546296296
1273,345.27300847763365
1274,202.56799272486765
1275,199.22244576719575
1276,229.41863822751304
1277,173.0347727411476
1278,140.29947089947092
1279,60.25083333333337
1280,49.98242724867727
1281,44.45389417989415
1282,40.11030477392978
1283,61.15631812169313
1284,120.21526587301588
1285,430.9613432539683
1286,644.574985449735
1287,363.8312509620007
1288,300.4177709235209
1289,194.47061063011049
1290,191.7268427729676
1291,165.8231853655603
1292,154.48452266714767
1293,188.07610666185667
1294,318.0158317700817
1295,552.6980211640214
1296,570.5257453703703
1297,529.3364246031745
1298,286.6237617845119
1299,185.1935595238095
1300,90.35586106023608
1301,130.9633637566139
1302,99.90169246031743
1303,69.0812876984127
1304,51.12885515873019
1305,41.82476058201057
1306,40.61111032948531
1307,59.07980753968259
1308,181.4194999999999
1309,587.9586792328041
1310,558.1979365079364
1311,305.99457804232827
1312,130.8581547619048
1313,226.4952724867725
1314,267.6294744468496
1315,262.8369944684945
1316,254.1998906325157
1317,246.67895238095244
1318,121.3594788359788
1319,164.69930970418474
1320,483.4136044973544
1321,635.6703199254449
1322,660.7013060365564
1323,267.5011242183741
1324,73.77770833333331
1325,83.2556845238095
1326,48.303949374699414
1327,37.70546164021162
1328,39.518161856661834
1329,41.67641137566135
1330,44.11312962962965
1331,61.83461309523807
1332,113.5976911375661
1333,410.0058141534393
1334,288.0098181216932
1335,481.43820568783104
1336,261.5398941798943
1337,238.10595105820107
1338,312.18628294853295
1339,472.17224537037015
1340,484.7948921957673
1341,375.07402447089936
1342,244.07612169312148
1343,163.32559126984123
1344,314.0102472342473
1345,160.44052116402116
1346,188.88271230158725
1347,141.95448148148148
1348,68.72693253968252
1349,79.71489725552227
1350,76.21406150793645
1351,61.115886904761915
1352,35.6716329365079
1353,34.52124999999998
1354,34.79073214285712
1355,43.19355357142862
1356,109.15118253968252
1357,334.78780423280443
1358,508.5648068783066
1359,439.27052777777783
1360,309.0972087542088
1361,218.96461261423755
1362,82.43559770322273
1363,174.46920767195763
1364,347.7496455026455
1365,315.37503030303003
1366,402.23072877585366
1367,340.1940892857141
1368,172.3795119047618
1369,193.2527248677248
1370,204.0147638888889
1371,118.6946534391534
1372,67.99925330687827
1373,142.56822883597883
1374,171.27165873015878
1375,124.0054265873016
1376,58.00075793650793
1377,48.90412500000004
1378,44.47894775132279
1379,51.22054034391536
1380,121.294585978836
1381,507.6869484126981
1382,565.8734087301585
1383,429.7589146825401
1384,231.78305026455007
1385,101.83371242183732
1386,144.724262011137
1387,204.5365325877825
1388,172.41340891053397
1389,176.40388634976122
1390,223.86521296296297
1391,463.74719913419887
1392,511.383633116883
1393,203.06241269841263
1394,130.87428673641168
1395,155.1124715608466
1396,150.7468161375662
1397,147.40428373015882
1398,105.0223597883598
1399,112.45103174603172
1400,37.3176369047619
1401,37.92920622895621
1402,34.933001984126975
1403,38.42140464165463
1404,43.53570171957676
1405,121.52793121693126
1406,162.77708002645508
1407,144.81442063492076
1408,137.9836130952382
1409,172.26137433862442
1410,175.18638624338632
1411,174.78424007936496
1412,78.04464677452177
1413,131.8051263227513
1414,116.78139682539678
1415,143.8656653439154
1416,187.68162301587304
1417,297.52912920875406
1418,231.3339173280422
1419,174.05695965608476
1420,169.1139226190477
1421,140.0343498677249
1422,118.0888313492064
1423,160.9219457671958
1424,151.29143849206355
1425,158.42824735449736
1426,151.02934854497363
1427,144.47473082010583
1428,83.75255489417985
1429,72.21362301587301
1430,40.86425162337661
1431,91.62623341473336
1432,82.37665110352604
1433,96.31956344118842
1434,130.04181427368934
1435,70.45153174603178
1436,83.0086295787546
1437,154.1729530423282
1438,95.29848143060649
1439,110.76282605820106
1440,127.23028571428569
1441,192.70260119047617
1442,181.0039107142856
1443,164.60813425925923
1444,165.1271441798942
1445,160.67208465608476
1446,116.60284259259252
1447,56.44157936507943
1448,40.06473334535831
1449,37.46514021164021
1450,41.15314405964403
1451,43.79441696729197
1452,170.5880125661376
1453,351.3254173280423
1454,375.398847883598
1455,618.7650555555554
1456,309.5461437590187
1457,238.4732394179894
1458,310.4451874098124
1459,252.32789550264545
1460,254.22904545454537
1461,284.8446883116881
1462,255.0539898989896
1463,334.6532751322748
1464,541.4598591269844
1465,576.4500681216936
1466,426.0468664021165
1467,226.9207334656085
1468,164.19537169312164
1469,121.5617347883598
1470,106.41478373015872
1471,54.731861111111115
1472,40.88534060846559
1473,40.66440740740739
1474,40.10604816017314
1475,60.37519642857142
1476,126.71833531746024
1477,697.5459999999993
1478,797.3198253968249
1479,706.979890151515
1480,679.6530238095237
1481,417.0486838624337
1482,308.1681960076958
1483,285.3711616161615
1484,210.02346031746023
1485,211.30869708994695
1486,215.66221626984117
1487,513.3051322751322
1488,782.6932096560846
1489,981.2891805555552
1490,757.0854078884073
1491,426.61406108706103
1492,252.84110070947568
1493,221.161104016354
1494,135.4202738095239
1495,79.4130938644688
1496,66.50842653642657
1497,58.509807299182306
1498,48.4350191798942
1499,66.44251780626783
1500,144.24040277777783
1501,549.3740945767194
1502,998.470984126984
1503,731.2230343314094
1504,503.0061150793648
1505,426.1227376743626
1506,464.7818247354499
1507,740.600152056277
1508,283.59303890091394
1509,232.83901785714264
1510,243.76286904761892
1511,280.88296230158727
1512,325.2212513227518
1513,430.3453756613756
1514,214.9688822751323
1515,135.2238068783069
1516,89.86908262108261
1517,120.6423531746031
1518,116.7995092592592
1519,81.28060088985092
1520,43.27308297258298
1521,38.38351256613756
1522,33.80262830687831
1523,40.77737433862434
1524,77.1895885734636
1525,175.57093452380954
1526,478.6201663059162
1527,248.63596362433853
1528,243.34330224867716
1529,148.02515873015872
1530,175.36009229196733
1531,245.6579530423279
1532,164.04921556221555
1533,221.82962914862904
1534,441.7863472222225
1535,688.2042663540163
1536,599.0861534391526
1537,502.9629332010576
1538,649.1054402958152
1539,421.0156898148148
1540,267.45329449254444
1541,419.55535714285713
1542,270.63819023569033
1543,183.15258928571416
1544,108.03732473544976
1545,80.40267195767196
1546,121.44368849206344
1547,108.65974470899472
1548,139.9245529100529
1549,512.0615337301583
1550,357.73912764550244
1551,394.9491832010585
1552,233.72926587301583
1553,190.9599968734968
1554,188.48853324915825
1555,302.55835251322736
1556,229.55563029100512
1557,222.9710960798459
1558,271.86607936507914
1559,387.9364801587301
1560,557.0580972222215
1561,672.8769920634916
1562,435.31178373015854
1563,225.4223015873015
1564,266.24431481481474
1565,203.24735185185185
1566,186.55970965608455
1567,102.79586706349204
1568,94.89479365079364
1569,101.97581084656083
1570,73.93381216931218
1571,48.249484487734506
1572,62.66171494708998
1573,131.7070714285713
1574,320.0327729076479
1575,349.9593066378066
1576,301.62118494468507
1577,145.67484630647124
1578,153.47846843434334
1579,156.2476152597402
1580,103.58653042328034
1581,142.62148056573048
1582,135.48179868742363
1583,160.12408903133894
1584,231.44809259259245
1585,285.0753326719577
1586,433.83606084656094
1587,220.18117941317925
1588,169.51327861952856
1589,286.6701025132274
1590,212.63228902116393
1591,120.65849470899474
1592,78.99447059884555
1593,74.00457142857137
1594,42.13695202020204
1595,48.291960317460315
1596,48.63660119047618
1597,66.20240873015878
1598,86.27044505494506
1599,148.14887311463033
1600,184.578934042809
1601,145.49318543956036
1602,129.84979324379327
1603,94.12151587301588
1604,99.7525185185185
1605,128.94391534391542
1606,152.0378756613757
1607,200.21499801587305
1608,176.87533134920625
1609,293.8570707671957
1610,229.0684530423279
1611,149.570287037037
1612,123.23132010582007
1613,121.15007473544968
1614,102.07579894179884
1615,59.89684126984127
1616,35.49059193121694
1617,30.59390806878306
1618,32.60522871572869
1619,52.065412037037056
1620,121.62558531746036
1621,309.8400476190474
1622,182.1360947570948
1623,163.1396346662597
1624,150.03809035409037
1625,137.44817434879934
1626,191.6576251803751
1627,155.86703589466083
1628,149.89039458689462
1629,151.80948387260875
1630,155.2887382756132
1631,288.1446671476669
1632,405.9699285714285
1633,444.23844179894166
1634,337.4675919312171
1635,116.067697089947
1636,129.88720634920642
1637,142.14997486772486
1638,89.21738227513217
1639,51.97590969215967
1640,49.418954365079344
1641,33.61935449735451
1642,36.692147366522335
1643,52.22402182539688
1644,113.68527050264557
1645,352.106583333333
1646,1025.6141686507938
1647,435.9432810846562
1648,288.0119131192882
1649,190.17686574074057
1650,306.3893284632033
1651,380.4344673520923
1652,207.90406283068776
1653,272.26804214766673
1654,201.137578042328
1655,474.14872228234736
1656,661.0316726190471
1657,742.162919973545
1658,409.5578862433863
1659,277.5129166666665
1660,138.15467551593275
1661,162.17375935801667
1662,115.28447420634922
1663,80.55734391534385
1664,55.65095743145745
1665,40.61644246031749
1666,38.81385515873017
1667,47.04188492063491
1668,110.94898941798944
1669,453.4191415343914
1670,1009.136388888889
1671,696.6802308201056
1672,328.3479473304475
1673,229.26745701058184
1674,217.12574783549775
1675,252.34252886002864
1676,236.49207936507935
1677,278.2141016714762
1678,311.96754485329484
1679,441.6979226791724
1680,601.5091164021155
1681,516.7470264550262
1682,524.3821283068778
1683,194.7334093915343
1684,159.69538756613758
1685,182.01265873015865
1686,133.2691375661376
1687,106.2444417989418
1688,57.00455663780664
1689,43.7994656084656
1690,40.346784932659936
1691,54.18888191438191
1692,106.82093915343911
1693,320.2241805555557
1694,863.7339880952379
1695,507.5872932299179
