Datetime,CO(GT),NMHC(GT),T,RH,AH,hour,dayofweek,month
2004-03-13 07:00:00,1.5,47.0,6.3,71.9,0.6932,7,5,3
2004-03-13 08:00:00,2.7,132.0,6.5,71.6,0.6945,8,5,3
2004-03-13 09:00:00,3.7,239.0,9.6,59.7,0.7124,9,5,3
2004-03-13 10:00:00,3.2,160.0,12.4,51.2,0.7335,10,5,3
2004-03-13 11:00:00,4.1,283.0,15.6,42.2,0.7451,11,5,3
2004-03-13 12:00:00,3.6,210.0,18.4,33.8,0.709,12,5,3
2004-03-13 13:00:00,2.8,154.0,19.4,31.3,0.695,13,5,3
2004-03-13 14:00:00,2.0,112.0,18.0,34.8,0.7127,14,5,3
2004-03-13 15:00:00,2.0,108.0,18.4,33.6,0.7042,15,5,3
2004-03-13 16:00:00,2.5,111.0,17.6,35.1,0.7012,16,5,3
2004-03-13 17:00:00,2.3,97.0,16.7,37.8,0.7117,17,5,3
2004-03-13 18:00:00,3.2,191.0,16.1,41.0,0.7451,18,5,3
2004-03-13 19:00:00,4.2,258.0,15.8,42.4,0.7569,19,5,3
2004-03-13 20:00:00,4.2,284.0,15.7,44.1,0.7786,20,5,3
2004-03-13 21:00:00,4.2,269.0,15.3,46.8,0.8091,21,5,3
2004-03-13 22:00:00,3.1,180.0,14.6,48.6,0.806,22,5,3
2004-03-13 23:00:00,2.6,116.0,14.7,49.3,0.8193,23,5,3
2004-03-14 00:00:00,2.9,93.0,13.9,53.6,0.8498,0,6,3
2004-03-14 01:00:00,2.8,131.0,14.6,51.5,0.8536,1,6,3
2004-03-14 02:00:00,2.5,92.0,12.5,58.9,0.8537,2,6,3
2004-03-14 03:00:00,2.4,132.0,11.6,63.4,0.8674,3,6,3
2004-03-14 04:00:00,1.036002791710426,56.0,12.1,61.1,0.8603,4,6,3
2004-03-14 05:00:00,1.2,32.0,11.5,63.1,0.8533,5,6,3
2004-03-14 06:00:00,1.0,29.0,11.6,62.2,0.8473,6,6,3
2004-03-14 07:00:00,0.9,27.0,10.4,67.6,0.853,7,6,3
2004-03-14 08:00:00,1.4,36.0,11.6,62.7,0.853,8,6,3
2004-03-14 09:00:00,1.6,57.0,12.4,60.0,0.8627,9,6,3
2004-03-14 10:00:00,2.2,129.0,14.5,53.1,0.8728,10,6,3
2004-03-14 11:00:00,2.8,148.0,16.9,46.1,0.8789,11,6,3
2004-03-14 12:00:00,2.8,145.0,19.3,38.3,0.8474,12,6,3
2004-03-14 13:00:00,2.0,93.0,21.2,31.4,0.7812,13,6,3
2004-03-14 14:00:00,1.8,84.0,21.4,30.2,0.7616,14,6,3
2004-03-14 15:00:00,1.9,99.0,21.9,29.0,0.7525,15,6,3
2004-03-14 16:00:00,3.0,150.0,22.2,28.4,0.7516,16,6,3
2004-03-14 17:00:00,2.9,156.0,21.3,30.8,0.7696,17,6,3
2004-03-14 18:00:00,2.5,122.0,19.7,36.7,0.8307,18,6,3
2004-03-14 19:00:00,4.6,262.0,18.4,41.7,0.8732,19,6,3
2004-03-14 20:00:00,5.9,341.0,17.6,46.1,0.921,20,6,3
2004-03-14 21:00:00,3.4,214.0,16.7,49.6,0.932,21,6,3
2004-03-14 22:00:00,2.1,100.0,16.3,51.0,0.9341,22,6,3
2004-03-14 23:00:00,2.2,79.0,14.7,55.9,0.9314,23,6,3
2004-03-15 00:00:00,1.8,66.0,14.8,54.7,0.9164,0,0,3
2004-03-15 01:00:00,1.8,73.0,14.0,57.0,0.9094,1,0,3
2004-03-15 02:00:00,1.8,66.0,13.4,61.3,0.9361,2,0,3
2004-03-15 03:00:00,1.1,44.0,12.6,63.5,0.923,3,0,3
2004-03-15 04:00:00,0.8688147853230398,44.0,12.3,65.4,0.9351,4,0,3
2004-03-15 05:00:00,1.0,39.0,11.9,67.4,0.9375,5,0,3
2004-03-15 06:00:00,1.4,51.0,11.4,70.5,0.9475,6,0,3
2004-03-15 07:00:00,2.2,107.0,11.3,70.2,0.9401,7,0,3
2004-03-15 08:00:00,5.5,336.0,12.4,63.9,0.917,8,0,3
2004-03-15 09:00:00,8.1,618.0,14.8,54.3,0.9076,9,0,3
2004-03-15 10:00:00,5.8,438.0,17.4,45.6,0.8993,10,0,3
2004-03-15 11:00:00,4.2,334.0,19.8,38.5,0.8801,11,0,3
2004-03-15 12:00:00,3.1,221.0,22.0,34.1,0.8904,12,0,3
2004-03-15 13:00:00,2.9,207.0,23.3,32.2,0.9096,13,0,3
2004-03-15 14:00:00,2.9,191.0,23.9,30.0,0.8757,14,0,3
2004-03-15 15:00:00,2.5,185.0,24.4,28.9,0.8736,15,0,3
2004-03-15 16:00:00,2.3,141.0,24.4,29.4,0.8848,16,0,3
2004-03-15 17:00:00,2.8,214.0,23.8,31.3,0.9137,17,0,3
2004-03-15 18:00:00,6.1,471.0,22.5,35.4,0.9547,18,0,3
2004-03-15 19:00:00,8.0,685.0,20.4,42.5,1.0086,19,0,3
2004-03-15 20:00:00,6.5,538.0,18.3,52.6,1.0945,20,0,3
2004-03-15 21:00:00,4.2,319.0,16.7,57.4,1.0786,21,0,3
2004-03-15 22:00:00,3.2,224.0,15.7,60.2,1.0654,22,0,3
2004-03-15 23:00:00,1.4,67.0,15.3,61.4,1.058,23,0,3
2004-03-16 00:00:00,2.1,155.0,14.1,65.7,1.0494,0,1,3
2004-03-16 01:00:00,1.2,49.0,14.8,60.6,1.0148,1,1,3
2004-03-16 02:00:00,0.8,29.0,14.8,59.2,0.9879,2,1,3
2004-03-16 03:00:00,0.7,25.0,13.6,62.1,0.9636,3,1,3
2004-03-16 04:00:00,0.7152520874270292,25.0,12.3,66.2,0.945,4,1,3
2004-03-16 05:00:00,0.6,17.0,12.8,63.2,0.9283,5,1,3
2004-03-16 06:00:00,0.9,27.0,11.2,68.5,0.9081,6,1,3
2004-03-16 07:00:00,1.3,50.0,11.0,66.5,0.8705,7,1,3
2004-03-16 08:00:00,3.4,218.0,11.7,63.7,0.8719,8,1,3
2004-03-16 09:00:00,3.7,285.0,13.6,56.3,0.8743,9,1,3
2004-03-16 10:00:00,5.3,437.0,17.8,42.9,0.8672,10,1,3
2004-03-16 11:00:00,4.1,327.0,21.4,33.3,0.8417,11,1,3
2004-03-16 12:00:00,3.3,283.0,24.4,27.4,0.8231,12,1,3
2004-03-16 13:00:00,4.0,366.0,25.3,26.1,0.8264,13,1,3
2004-03-16 14:00:00,3.8,318.0,25.8,23.2,0.7589,14,1,3
2004-03-16 15:00:00,2.8,228.0,27.0,20.2,0.7094,15,1,3
2004-03-16 16:00:00,2.9,201.0,28.2,18.6,0.7014,16,1,3
2004-03-16 17:00:00,2.9,199.0,28.0,19.1,0.7098,17,1,3
2004-03-16 18:00:00,3.4,237.0,23.9,25.7,0.7519,18,1,3
2004-03-16 19:00:00,3.9,261.0,21.3,34.8,0.873,19,1,3
2004-03-16 20:00:00,3.2,230.0,20.4,36.7,0.8704,20,1,3
2004-03-16 21:00:00,5.1,349.0,19.0,41.3,0.9007,21,1,3
2004-03-16 22:00:00,2.6,183.0,17.9,45.9,0.9342,22,1,3
2004-03-16 23:00:00,1.7,88.0,16.7,48.9,0.9226,23,1,3
2004-03-17 00:00:00,1.7,85.0,15.5,52.9,0.9271,0,2,3
2004-03-17 01:00:00,1.2,47.0,15.5,51.9,0.9059,1,2,3
2004-03-17 02:00:00,0.9,34.0,14.1,55.6,0.891,2,2,3
2004-03-17 03:00:00,0.7,26.0,13.1,57.9,0.8666,3,2,3
2004-03-17 04:00:00,0.5886696699323394,17.0,12.7,57.9,0.8447,4,2,3
2004-03-17 05:00:00,0.5,11.0,11.8,58.0,0.8026,5,2,3
2004-03-17 06:00:00,0.5,18.0,11.9,57.4,0.7978,6,2,3
2004-03-17 07:00:00,1.6,84.0,9.9,65.2,0.7956,7,2,3
2004-03-17 08:00:00,4.1,260.0,11.1,60.2,0.7958,8,2,3
2004-03-17 09:00:00,6.6,534.0,14.1,50.0,0.802,9,2,3
2004-03-17 10:00:00,4.3,368.0,17.7,40.1,0.8048,10,2,3
2004-03-17 11:00:00,2.9,200.0,21.1,33.4,0.8265,11,2,3
2004-03-17 12:00:00,2.5,145.0,24.3,28.3,0.8471,12,2,3
2004-03-17 13:00:00,2.8,188.0,25.6,25.6,0.8254,13,2,3
2004-03-17 14:00:00,2.6,152.0,25.9,25.9,0.8503,14,2,3
2004-03-17 15:00:00,2.0,103.0,26.8,18.7,0.65,15,2,3
2004-03-17 16:00:00,2.9,193.0,29.3,15.8,0.6309,16,2,3
2004-03-17 17:00:00,2.5,134.0,28.5,14.9,0.5708,17,2,3
2004-03-17 18:00:00,5.0,386.0,25.9,16.0,0.5237,18,2,3
2004-03-17 19:00:00,7.6,577.0,23.1,26.5,0.7403,19,2,3
2004-03-17 20:00:00,6.7,523.0,20.5,38.2,0.9133,20,2,3
2004-03-17 21:00:00,5.7,472.0,19.1,42.6,0.9294,21,2,3
2004-03-17 22:00:00,2.8,206.0,17.2,44.1,0.8558,22,2,3
2004-03-17 23:00:00,2.6,216.0,16.0,50.9,0.9206,23,2,3
2004-03-18 00:00:00,2.3,159.0,14.8,53.9,0.9024,0,3,3
2004-03-18 01:00:00,1.4,70.0,14.3,55.4,0.8975,1,3,3
2004-03-18 02:00:00,1.0,44.0,14.8,52.1,0.8686,2,3,3
2004-03-18 03:00:00,0.7,42.0,13.9,53.9,0.8501,3,3,3
2004-03-18 04:00:00,0.7559623126387603,28.0,11.6,61.9,0.8442,4,3,3
2004-03-18 05:00:00,0.6,20.0,12.0,58.9,0.8233,5,3,3
2004-03-18 06:00:00,0.7,26.0,10.9,62.1,0.8113,6,3,3
2004-03-18 07:00:00,1.5,78.0,10.6,63.3,0.8067,7,3,3
2004-03-18 08:00:00,4.7,319.0,11.5,60.0,0.8117,8,3,3
2004-03-18 09:00:00,6.6,506.0,14.3,50.6,0.8186,9,3,3
2004-03-18 10:00:00,4.5,397.1403882275132,17.8,40.5,0.821,10,3,3
2004-03-18 11:00:00,2.8,200.55706295093813,20.8,34.4,0.8365,11,3,3
2004-03-18 12:00:00,2.2,170.976082010582,23.8,28.2,0.8219,12,3,3
2004-03-18 13:00:00,2.2,168.6418458994709,24.2,28.7,0.8515,13,3,3
2004-03-18 14:00:00,2.3,165.8914669312169,25.2,24.9,0.7829,14,3,3
2004-03-18 15:00:00,2.2,210.41494775132287,27.0,17.8,0.6275,15,3,3
2004-03-18 16:00:00,2.8,228.4225193001443,27.1,23.1,0.818,16,3,3
2004-03-18 17:00:00,2.7,198.6581198292449,25.8,23.9,0.7832,17,3,3
2004-03-18 18:00:00,3.7,424.4018517316019,23.0,26.8,0.7446,18,3,3
2004-03-18 19:00:00,5.1,447.04576984126965,20.7,31.1,0.7523,19,3,3
2004-03-18 20:00:00,5.1,435.9534563492062,18.6,36.2,0.7676,20,3,3
2004-03-18 21:00:00,3.2,235.49356042568547,16.0,48.4,0.8768,21,3,3
2004-03-18 22:00:00,2.1,134.71723082010584,14.5,57.8,0.9456,22,3,3
2004-03-18 23:00:00,1.7,130.58150396825403,13.1,64.2,0.9606,23,3,3
2004-03-19 00:00:00,2.0,135.67996825396827,12.0,69.7,0.9735,0,4,3
2004-03-19 01:00:00,1.6,93.26133201058204,11.9,71.1,0.9915,1,4,3
2004-03-19 02:00:00,0.9,49.394126743626764,12.5,69.3,1.0029,2,4,3
2004-03-19 03:00:00,0.7,30.111480158730156,12.5,67.5,0.9768,3,4,3
2004-03-19 04:00:00,0.6102693681316731,27.196099867724868,12.3,67.7,0.9665,4,4,3
2004-03-19 05:00:00,0.5,25.378204365079363,12.5,66.8,0.962,5,4,3
2004-03-19 06:00:00,0.7,25.7635615079365,12.3,66.3,0.9487,6,4,3
2004-03-19 07:00:00,1.5,85.10801190476185,12.4,64.9,0.9332,7,4,3
2004-03-19 08:00:00,4.8,368.7074537037037,13.0,61.6,0.9209,8,4,3
2004-03-19 09:00:00,6.2,479.7098465608466,13.6,58.8,0.912,9,4,3
2004-03-19 10:00:00,4.0,450.6204980158729,13.9,57.1,0.9032,10,4,3
2004-03-19 11:00:00,3.3,338.0708247354497,14.5,54.4,0.8917,11,4,3
2004-03-19 12:00:00,2.8,260.35194312169324,15.5,50.1,0.8744,12,4,3
2004-03-19 13:00:00,3.0,334.9329801587301,16.1,47.6,0.8655,13,4,3
2004-03-19 14:00:00,3.3,352.41706523569025,16.3,47.1,0.864,14,4,3
2004-03-19 15:00:00,3.5,410.9798915343916,16.4,47.5,0.8791,15,4,3
2004-03-19 16:00:00,4.0,382.4335264550265,16.1,50.2,0.9094,16,4,3
2004-03-19 17:00:00,4.6,486.43414947089974,16.0,50.7,0.9142,17,4,3
2004-03-19 18:00:00,4.1,453.75106613756594,15.8,50.3,0.8989,18,4,3
2004-03-19 19:00:00,4.5,573.3783068783066,15.5,50.6,0.884,19,4,3
2004-03-19 20:00:00,3.9,395.1570515873017,15.4,51.4,0.8956,20,4,3
2004-03-19 21:00:00,4.0,330.7393613516117,15.2,53.1,0.9117,21,4,3
2004-03-19 22:00:00,2.2,178.50043308080805,14.7,57.6,0.9573,22,4,3
2004-03-19 23:00:00,2.1,134.44699074074074,14.2,58.3,0.938,23,4,3
2004-03-20 00:00:00,1.7,83.97029497354498,13.8,57.9,0.9085,0,5,3
2004-03-20 01:00:00,1.6,64.5985482804233,13.9,55.9,0.8842,1,5,3
2004-03-20 02:00:00,1.3,69.92923875661376,13.9,55.6,0.8765,2,5,3
2004-03-20 03:00:00,1.3,53.19183862433861,13.8,55.1,0.8666,3,5,3
2004-03-20 04:00:00,0.7420304471696619,42.235340608465584,13.8,54.6,0.8574,4,5,3
2004-03-20 05:00:00,0.8,45.02856824194323,13.6,55.1,0.856,5,5,3
2004-03-20 06:00:00,0.8,27.88191931216929,13.6,59.0,0.9129,6,5,3
2004-03-20 07:00:00,1.1,67.33092863155359,13.5,58.4,0.896,7,5,3
2004-03-20 08:00:00,2.1,118.22897919672924,13.8,58.0,0.9083,8,5,3
2004-03-20 09:00:00,2.4,129.0685707671957,14.6,53.1,0.8765,9,5,3
2004-03-20 10:00:00,2.6,177.22766203703708,15.0,52.3,0.8881,10,5,3
2004-03-20 11:00:00,2.8,180.70861177248676,15.4,52.1,0.9046,11,5,3
2004-03-20 12:00:00,2.6,172.08087301587304,16.3,50.0,0.9158,12,5,3
2004-03-20 13:00:00,2.6,172.94833201058202,17.1,47.9,0.9281,13,5,3
2004-03-20 14:00:00,2.1,134.01063492063483,19.0,42.9,0.937,14,5,3
2004-03-20 15:00:00,1.7,120.40644179894181,19.5,42.3,0.9476,15,5,3
2004-03-20 16:00:00,1.6,109.16150462962965,19.5,42.3,0.9493,16,5,3
2004-03-20 17:00:00,2.1,155.08945304232802,19.1,43.8,0.9556,17,5,3
2004-03-20 18:00:00,2.3,196.2660661375661,18.5,46.3,0.9744,18,5,3
2004-03-20 19:00:00,3.5,282.64073965848945,17.4,51.6,1.0159,19,5,3
2004-03-20 20:00:00,3.9,289.99871320346296,17.1,51.3,0.9914,20,5,3
2004-03-20 21:00:00,3.3,230.7811530182782,16.4,53.8,0.9964,21,5,3
2004-03-20 22:00:00,2.3,161.0412903439153,16.2,55.4,1.0132,22,5,3
2004-03-20 23:00:00,2.1,125.64907010582023,15.9,57.7,1.0356,23,5,3
2004-03-21 00:00:00,2.8,158.12513888888884,15.7,58.6,1.0396,0,6,3
2004-03-21 01:00:00,2.1,94.31905357142854,15.1,60.9,1.0398,1,6,3
2004-03-21 02:00:00,1.6,81.15575132275127,15.6,56.6,0.9951,2,6,3
2004-03-21 03:00:00,1.6,83.46838029100527,15.2,57.9,0.9941,3,6,3
2004-03-21 04:00:00,1.379640025132357,94.72129894179896,15.4,57.8,1.0021,4,6,3
2004-03-21 05:00:00,1.1,58.10912109187108,14.9,60.6,1.0196,5,6,3
2004-03-21 06:00:00,0.7,28.960216269841265,14.5,63.0,1.0316,6,6,3
2004-03-21 07:00:00,0.8,42.011572751322774,14.2,66.2,1.063,7,6,3
2004-03-21 08:00:00,1.2,50.400178571428576,14.5,65.3,1.0704,8,6,3
2004-03-21 09:00:00,1.4,59.88505621693119,15.3,62.1,1.073,9,6,3
2004-03-21 10:00:00,1.7,93.96059126984123,16.3,59.0,1.0868,10,6,3
2004-03-21 11:00:00,1.8,117.13665079365082,18.9,49.6,1.07,11,6,3
2004-03-21 12:00:00,1.8,127.17881018518526,19.4,46.1,1.0249,12,6,3
2004-03-21 13:00:00,1.9,113.45113227513231,20.8,41.6,1.0091,13,6,3
2004-03-21 14:00:00,1.3,75.93019113756613,21.4,40.3,1.0126,14,6,3
2004-03-21 15:00:00,1.6,140.88327447089944,21.2,39.3,0.9791,15,6,3
2004-03-21 16:00:00,1.9,112.5741964285714,20.3,38.0,0.8942,16,6,3
2004-03-21 17:00:00,2.3,142.47678108465607,19.4,41.3,0.9206,17,6,3
2004-03-21 18:00:00,3.8,251.91113714526205,18.5,43.8,0.9252,18,6,3
2004-03-21 19:00:00,3.5,219.8936656445407,17.8,48.1,0.9689,19,6,3
2004-03-21 20:00:00,4.3,265.2781821188071,17.9,46.9,0.952,20,6,3
2004-03-21 21:00:00,2.8,167.32681283068783,17.4,49.1,0.9688,21,6,3
2004-03-21 22:00:00,1.9,146.01763558201066,17.0,51.7,0.9914,22,6,3
2004-03-21 23:00:00,1.9,124.38717460317471,16.4,55.1,1.0198,23,6,3
2004-03-22 00:00:00,1.7,83.06272619047616,16.1,60.0,1.0919,0,0,3
2004-03-22 01:00:00,1.5,64.01432738095241,15.8,60.5,1.0805,1,0,3
2004-03-22 02:00:00,0.6,33.09560978835975,16.3,57.0,1.0491,2,0,3
2004-03-22 03:00:00,0.4,26.895203042328035,16.9,53.9,1.0309,3,0,3
2004-03-22 04:00:00,0.3950334555777571,25.633414682539684,16.1,55.9,1.0153,4,0,3
2004-03-22 05:00:00,0.3,24.562585978835976,16.5,53.9,1.0049,5,0,3
2004-03-22 06:00:00,0.6,29.451276455026424,16.4,54.0,0.9979,6,0,3
2004-03-22 07:00:00,1.2,67.0230892857143,15.7,57.6,1.0195,7,0,3
2004-03-22 08:00:00,3.6,331.9454576719577,15.8,53.7,0.9571,8,0,3
2004-03-22 09:00:00,3.7,445.36491600529075,17.4,42.1,0.8281,9,0,3
2004-03-22 10:00:00,1.8,125.50628240740748,17.9,38.4,0.7793,10,0,3
2004-03-22 11:00:00,1.6,130.4212142857143,18.5,36.7,0.7764,11,0,3
2004-03-22 12:00:00,1.9,179.78610119047613,21.0,29.6,0.7263,12,0,3
2004-03-22 13:00:00,2.0,187.8095431697931,21.3,28.1,0.7067,13,0,3
2004-03-22 14:00:00,2.2,211.46913510101012,21.3,26.1,0.6539,14,0,3
2004-03-22 15:00:00,2.1,197.27806565656564,21.3,26.8,0.6681,15,0,3
2004-03-22 16:00:00,2.3,451.0,21.3,24.2,0.606,16,0,3
2004-03-22 17:00:00,2.6,185.0,20.2,28.5,0.6682,17,0,3
2004-03-22 18:00:00,3.8,426.0,17.0,43.1,0.8264,18,0,3
2004-03-22 19:00:00,4.4,672.0,15.6,47.4,0.8347,19,0,3
2004-03-22 20:00:00,4.5,624.0,15.3,47.4,0.8178,20,0,3
2004-03-22 21:00:00,3.3,325.0,14.5,49.7,0.8177,21,0,3
2004-03-22 22:00:00,2.0,143.0,13.9,52.0,0.8231,22,0,3
2004-03-22 23:00:00,1.1,89.0,14.5,49.4,0.8106,23,0,3
2004-03-23 00:00:00,0.9,73.0,13.8,51.4,0.8071,0,1,3
2004-03-23 01:00:00,0.8,48.0,14.0,51.3,0.8163,1,1,3
2004-03-23 02:00:00,0.7,47.0,13.0,56.8,0.8444,2,1,3
2004-03-23 03:00:00,0.5,36.0,11.0,70.0,0.9215,3,1,3
2004-03-23 04:00:00,0.4413430279277368,25.0,10.1,76.8,0.9483,4,1,3
2004-03-23 05:00:00,0.3,19.0,8.8,80.5,0.9147,5,1,3
2004-03-23 06:00:00,0.5,26.0,9.6,75.4,0.9004,6,1,3
2004-03-23 07:00:00,1.1,60.0,9.8,75.0,0.9093,7,1,3
2004-03-23 08:00:00,3.0,248.0,10.0,74.2,0.9117,8,1,3
2004-03-23 09:00:00,3.8,535.0,11.2,69.7,0.9232,9,1,3
2004-03-23 10:00:00,3.4,340.0,12.0,62.9,0.8803,10,1,3
2004-03-23 11:00:00,3.0,325.0,12.8,55.8,0.821,11,1,3
2004-03-23 12:00:00,2.7,267.0,13.1,54.8,0.8234,12,1,3
2004-03-23 13:00:00,3.5,325.0,13.8,53.4,0.8351,13,1,3
2004-03-23 14:00:00,2.8,268.0,16.0,42.4,0.7674,14,1,3
2004-03-23 15:00:00,1.9,136.0,14.1,49.8,0.7971,15,1,3
2004-03-23 16:00:00,2.0,118.0,12.0,61.1,0.8537,16,1,3
2004-03-23 17:00:00,3.0,276.0,13.6,54.6,0.8465,17,1,3
2004-03-23 18:00:00,1.9,151.0,13.7,49.5,0.7695,18,1,3
2004-03-23 19:00:00,2.7,236.0,11.7,57.1,0.7822,19,1,3
2004-03-23 20:00:00,3.3,220.0,11.5,58.2,0.7867,20,1,3
2004-03-23 21:00:00,1.7,87.0,12.6,54.2,0.7881,21,1,3
2004-03-23 22:00:00,1.3,81.0,12.0,54.9,0.7664,22,1,3
2004-03-23 23:00:00,1.3,74.0,11.0,61.4,0.8057,23,1,3
2004-03-24 00:00:00,1.2,55.0,11.1,62.2,0.8199,0,2,3
2004-03-24 01:00:00,1.1,74.0,10.8,62.5,0.8082,1,2,3
2004-03-24 02:00:00,0.9,35.0,11.3,60.0,0.8025,2,2,3
2004-03-24 03:00:00,0.6,29.0,10.6,61.6,0.7856,3,2,3
2004-03-24 04:00:00,0.5862075586662399,29.0,10.2,62.7,0.7813,4,2,3
2004-03-24 05:00:00,0.6,20.0,10.9,58.6,0.7628,5,2,3
2004-03-24 06:00:00,0.8,32.0,10.8,57.2,0.7382,6,2,3
2004-03-24 07:00:00,1.2,84.0,10.4,59.2,0.7455,7,2,3
2004-03-24 08:00:00,3.1,245.0,11.0,57.3,0.7501,8,2,3
2004-03-24 09:00:00,4.4,553.0,11.2,56.9,0.7565,9,2,3
2004-03-24 10:00:00,3.4,450.0,12.1,54.9,0.7734,10,2,3
2004-03-24 11:00:00,1.7,118.0,15.1,44.3,0.7535,11,2,3
2004-03-24 12:00:00,1.5,118.0,15.6,40.6,0.7146,12,2,3
2004-03-24 13:00:00,1.7,144.0,16.9,34.6,0.6597,13,2,3
2004-03-24 14:00:00,2.2,159.0,16.6,35.6,0.6697,14,2,3
2004-03-24 15:00:00,1.6828681793679163,122.0,11.3,63.9,0.8554,15,2,3
2004-03-24 16:00:00,2.7,230.0,9.6,81.1,0.972,16,2,3
2004-03-24 17:00:00,2.8,320.0,11.7,69.1,0.9497,17,2,3
